ref_id,work_id,ref_doi,ref_search,ref_quality,openalex_id,oa_title,match_method,confidence
2169_r4,2169,10.1093/llc/fqt063,"Kestemont, M., Moens, S. and Deploige, J. (2013). Collaborative Authorship in the Twelfth Century: A Stylometric Study of Hildegard of Bingen and Guibert of Gembloux. Digital Scholarship in the Humanities, http://dx.doi.org/10.1093/llc/fqt063.",xml_bibl,W2028701196,Collaborative authorship in the twelfth century: A stylometric study of Hildegard of Bingen and Guibert of Gembloux,offline_doi,1
2174_r3,2174,10.1093/llc/fqu026,"Dombrowski, Q. (2014). What Ever Happened to Project Bamboo? Literary and Linguistic Computing, 29(3): 326–39, doi:10.1093/llc/fqu026.",xml_bibl,W2151419531,What Ever Happened to Project Bamboo?,offline_doi,1
2174_r4,2174,10.1093/llc/fqq026,"Teehan, A. and Keating, J. G. (2010). Appropriate Use Case Modeling for Humanities Documents. Literary and Linguistic Computing, 25(4): 381–91, doi:10.1093/llc/fqq026.",xml_bibl,W2076133778,Appropriate Use Case modeling for humanities documents,offline_doi,1
2176_r5,2176,10.1109/bigdata.2013.6691674,"Brown, S., and Simpson, J. (2013). The Curious Identity of Michael Field and Its Implications for Humanities Research with the Semantic Web. IEEE, Big Data 2013, Humanities and Big Data Workshop, Santa Clara, CA, 6–9 October 2013, pp. 77–85, doi:10.1109/BigData.2013.6691674.",xml_bibl,W2028515682,The curious identity of Michael Field and its implications for humanities research with the semantic web,offline_doi,1
2176_r13,2176,NA,Open Annotation Data Model. (2013). http://www.openannotation.org/spec/core/.,xml_bibl,W2254042067,Open Annotation Data Model,offline_title_fuzzy,0.967741935483871
2176_r17,2176,10.1109/culturecomputing.2013.61,"Simpson, J. and Brown, S. (2013). From XML to RDF in the Orlando Project. International Conference on Culture and Computing 2013, Kyoto, Japan, 16–18 September 2013, pp. 194–95, doi:10.1109/CultureComputing.2013.61.",xml_bibl,W2007844326,From XML to RDF in the Orlando Project,offline_doi,1
2178_r2,2178,10.1037/h0047157,"Kershner, A. M. (1964). Speed of Reading in an Adult Population under Differential Conditions. Journal of Applied Psychology, 48: 25–28, http://dx.doi.org/10.1037/h0047157.",xml_bibl,W1992031850,Speed of reading in an adult population under differential conditions.,offline_doi,1
2178_r3,2178,10.1016/j.eswa.2010.09.103,"Omid, M. (2011). Design of an Expert System for Sorting Pistachio Nuts through Decision Tree and Fuzzy Logic Classifier. Expert Systems with Applications, 38: 4339–47, http://dx.doi.org/10.1016/j.eswa.2010.09.103.",xml_bibl,W2067488172,Design of an expert system for sorting pistachio nuts through decision tree and fuzzy logic classifier,offline_doi,1
2178_r4,2178,10.3115/1073336.1073347,"Pedersen, T. (2001). A Decision Tree of Bigrams Is an Accurate Predictor of Word Sense. Association for Computational Linguistics, pp. 1–8, http://dx.doi.org/10.3115/1073336.1073347.",xml_bibl,W2048374711,A decision tree of bigrams is an accurate predictor of word sense,offline_doi,1
2178_r7,2178,10.1007/978-1-4020-6264-3_67,"Youn, S. and McLeod, D. (2007). A Comparative Study for Email Classification. In Elleithy, E. (ed.), Advances and Innovations in Systems: Computing Sciences and Software Engineering. Dordrecht: Springer Netherlands, pp. 387–91, http://link.springer.com/10.1007/978-1-4020-6264-3_67.",xml_bibl,W1484485089,A Comparative Study for Email Classification,offline_doi,1
2183_r7,2183,10.7771/1481-4374.1789,"Wolf, W.(2011). (Inter)mediality and the Study of Literature. CLCWeb: Comparative Literature and Culture,13(3) (2011), http://dx.doi.org/10.7771/1481-4374.1789.",xml_bibl,W2038409722,(Inter)mediality and the Study of Literature,offline_doi,1
2186_r4,2186,10.1007/978-3-642-40501-3_47,"Kemman, M., Kleppe, M. and Maarseveen, J. (2013a). Eye Tracking the Use of a Collapsible Facets Panel in a Search Interface. In Research and Advanced Technology for Digital Libraries. Berlin: Springer, pp. 405–8, doi:10.1007/978-3-642-40501-3_47.",xml_bibl,W1637997352,Eye Tracking the Use of a Collapsible Facets Panel in a Search Interface,offline_doi,1
2186_r5,2186,10.7195/ri14.v11i2.596,"Kemman, M., Kleppe, M., Nieman, B. and Beunders, H. (2013b). Dutch Journalism in the Digital Age [El Periodismo Holandés En La Era Digital]. Icono 14, 11(2): 163–81, doi:10.7195/ri14.v11i2.596.",xml_bibl,W2008811452,El periodismo holandés en la era digital,offline_doi,1
2186_r12,2186,10.1145/2484028.2494492,"Smith, J. R. (2013). Riding the Multimedia Big Data Wave. In Proceedings of the 36th International ACM SIGIR Conference on Research and Development in Information Retrieval—SIGIR ’13. New York: ACM Press, doi:10.1145/2484028.2494492.",xml_bibl,W1965295228,Riding the multimedia big data wave,offline_doi,1
2186_r13,2186,10.1109/cbmi.2014.6849852,"Van der Kreeft, P., Macquarrie, K., Kemman, M., Kleppe, M. and McGuinness, K. (2014). AXES-RESEARCH: A User-Oriented Tool for Enhanced Multimodal Search and Retrieval in Audiovisual Libraries. In 2014 12th International Workshop on Content-Based Multimedia Indexing (CBMI), IEEE, Klagenfurt, Austria, 18–20 June 2014, 1–4, doi:10.1109/CBMI.2014.6849852.",xml_bibl,W2070528724,AXES-RESEARCH &amp;#x2014; A user-oriented tool for enhanced multimodal search and retrieval in audiovisual libraries,offline_doi,1
2190_r2,2190,10.2752/147800413x13515292098070,"Hitchcock, T. (2013). Confronting the Digital: Or How Academic History Writing Lost the Plot. Cultural and Social History, 10(1): 9–23, http://dx.doi.org/10.2752/147800413X13515292098070.",xml_bibl,W950355994,Confronting the Digital,offline_doi,1
2190_r7,2190,10.1093/llc/fqm045,"Warwick, C., Terras, M., Huntington, P. and Pappa, N. (2008). If You Build It, Will They Come? The LAIRAH Study: Quantifying the Use of Online Resources in the Arts and Humanities through Statistical Analysis of User Log Data. Literary and Linguistic Computing, 2 3(1): 85–102, 10.1093/llc/fqm045.",xml_bibl,W2103707024,If You Build It Will They Come? The LAIRAH Study: Quantifying the Use of Online Resources in the Arts and Humanities through Statistical Analysis of User Log Data,offline_doi,1
2194_r2,2194,10.1007/978-1-4614-6880-6_23,"Cheng, G., Liu, M. and Qu, Y. (2013). NJVR: The NanJing Vocabulary Repository. In Semantic Web and Web Science. Springer, pp. 265–72, http://link.springer.com/chapter/10.1007/978-1-4614-6880-6_23.",xml_bibl,W2099926525,NJVR: The NanJing Vocabulary Repository,offline_doi,1
2194_r3,2194,10.1007/978-3-642-25073-6_17,"Howse, J., Stapleton, G., Taylor, K. and Chapman, P. (2011). Visualizing Ontologies: A Case Study. In Aroyo, L., Welty, C., Alani, H., Taylor, J., Bernstein, A., Kagal, L., Noy, N. and Blomqvist, E. (eds), The Semantic Web. ISWC 2011. Berlin: Springer, pp. 257–72, http://link.springer.com/chapter/10.1007/978-3-642-25073-6_17.",xml_bibl,W204723148,Visualizing Ontologies: A Case Study,offline_doi,1
2194_r4,2194,10.1145/1287620.1287621,"Katifori, A., Halatsis, C., Lepouras, G., Vassilakis, C. and Giannopoulou, E. (2007). Ontology Visualization Methods: A Survey. ACM Computing Surveys, 39(4): 10-es, doi:10.1145/1287620.1287621.",xml_bibl,W2026743036,Ontology visualization methods—a survey,offline_doi,1
2194_r6,2194,10.1109/cisis.2010.55,"Kriglstein, S. and Wallner, G. (2010). Knoocks: A Visualization Approach for OWL Lite Ontologies. CISIS 2010: 4th International Conference on Complex, Intelligent and Software Intensive Systems, pp. 950–55, doi:10.1109/CISIS.2010.55.",xml_bibl,W1968107352,Knoocks - A Visualization Approach for OWL Lite Ontologies,offline_doi,1
2194_r9,2194,10.1007/978-3-642-25073-6_30,"Motta, E., Mulholland, P., Peroni, S., d’ Aquin, M., Gomez-Perez, J. M., Mendez, V. and Zablith, F. (2011). A Novel Approach to Visualizing and Navigating Ontologies. The Semantic Web. ISWC 2011. Springer, pp. 470–86, http://link.springer.com/chapter/10.1007/978-3-642-25073-6_30.",xml_bibl,W1576693970,A Novel Approach to Visualizing and Navigating Ontologies,offline_doi,1
2194_r10,2194,10.1109/infvis.2002.1173148,"Plaisant, C., Grosjean, J. and Bederson, B. B. (2002). SpaceTree: Supporting Exploration in Large Node Link Tree, Design Evolution and Empirical Evaluation. INFOVIS 2002: IEEE Symposium on Information Visualization, pp. 57–64, doi:10.1109/INFVIS.2002.1173148, ftp://ftp.cs.umd.edu/pub/hcil/Reports-Abstracts-Bibliography/2002-05html/2002-05.pdf.",xml_bibl,W2130675236,"SpaceTree: supporting exploration in large node link tree, design evolution and empirical evaluation",offline_doi,1
2206_r14,2206,10.1073/pnas.1405984111,"Klingenstein, S., Hitchcock, T. and DeDeo, S. (2014). The Civilizing Process in London’s Old Bailey. Proceedings of the National Academy of Sciences, 111(26) (1 July): 9419–24, doi:10.1073/pnas.1405984111.",xml_bibl,W2136701143,The civilizing process in London’s Old Bailey,offline_doi,1
2216_r7,2216,10.1093/llc/fqn016,"Jessop, M. (2008). Digital Visualization as a Scholarly Activity. Literary and Linguistic Computing, 23(3) (September 1): 281–93, doi:10.1093/llc/fqn016.",xml_bibl,W1981080848,Digital visualization as a scholarly activity,offline_doi,1
2216_r8,2216,10.1353/aq.0.0012,"Kinnahan, T. P. (2008). Charting Progress: Francis Amasa Walker’s Statistical Atlas of the United States and Narratives of Western Expansion. American Quarterly, 60(2): 399–423, doi:10.1353/aq.0.0012.",xml_bibl,W2106432738,Charting Progress: Francis Amasa Walker's Statistical Atlas of the United States and Narratives of Western Expansion,offline_doi,1
2219_r18,2219,10.1215/10407391-2419991,"Raley, R. (2014). Digital Humanities for the Next Five Minutes. Differences, 25(1): 26–45, doi:10.1215/10407391-2419991.",xml_bibl,W2133429179,Digital Humanities for the Next Five Minutes,offline_doi,1
2219_r19,2219,10.1038/scientificamerican0991-94,"Weiser, M. (1991). The Computer for the 21st Century. Scientific American, 265(3): 94–104, doi:10.1038/scientificamerican0991-94.",xml_bibl,W1647826363,The Computer for the 21st Century,offline_doi,1
2222_r4,2222,10.1111/cura.12020,"Kenderdine, S. (2013). ‘Pure Land’: Inhabiting the Mogao Caves at Dunhuang. Curator: The Museum Journal, 56: 199–218, doi:10.1111/cura.12020.",xml_bibl,W1973405365,“Pure Land”: Inhabiting the Mogao Caves at Dunhuang,offline_doi,1
2226_r4,2226,10.1177/1748048514524119,"Bennett, L. (2008). Changing Citizenship in the Digital Age. In Bennett, W. L. (ed.), Civic Life Online: Learning How Digital Media Can Engage Youth, 1-24, doi: 10.1177/1748048514524119.",xml_bibl,W2322004164,Learning by clicking: An experiment with social media democracy in Indonesia,offline_doi,1
2231_r7,2231,10.1093/llc/fqs013,"Siemens, R., Timney, M., Leitch, C., Koolen, C. and Garney, A. (2012). Toward Modeling the Social Edition: An Approach to Understanding the Electronic Scholarly Edition in the Context of New and Emerging Social Media. Literary and Linguistic Computing, 27(4):445–61, dx.doi.org/10.1093/llc/fqs013, http://llc.oxfordjournals.org/content/27/4/445.",xml_bibl,W2160133849,Toward modeling the social edition: An approach to understanding the electronic scholarly edition in the context of new and emerging social media,offline_doi,1
2231_r8,2231,10.1080/01930826.2013.756680,"Sula, C. (2013). Digital Humanities and Libraries: A Conceptual Model. Journal of Library Administration, 53(1), 10.1080/01930826.2013.756680, http://www.tandfonline.com/doi/abs/10.1080/01930826.2013.756680.",xml_bibl,W2130883452,Digital Humanities and Libraries: A Conceptual Model,offline_doi,1
2238_r3,2238,10.1093/llc/fqt037,"Nicolet, C. (1966–1974). L’Ordre équestre à l’époque républicaine (312–43 av. J.-C.). Paris. Pasin, M. and Bradley, J. (2013). Factoid-Based Prosopography and Computer Ontologies: Towards an Integrated Approach. Literary and Linguistic Computing, June 29, doi:10.1093/llc/fqt037.",xml_bibl,W2036699209,Factoid-based prosopography and computer ontologies: towards an integrated approach,offline_doi,1
2247_r1,2247,10.1145/1121949.1121979,NA,xml_doi_only,W2037802158,Exploratory search,offline_doi,1
2247_r2,2247,10.1109/iv.2006.104,NA,xml_doi_only,W2128554541,Text Map Explorer: a Tool to Create and Explore Document Maps,offline_doi,1
2249_r15,2249,10.1145/1287620.1287621,"Katifori, A., Halatsis, C., Lepouras, G., Vassilakis, C. and Giannopoulou, E. (2007). Ontology Visualization Methods Survey. ACM Computing Surveys, 39(4) (2 November): 10–es, doi:10.1145/1287620.1287621.",xml_bibl,W2026743036,Ontology visualization methods—a survey,offline_doi,1
2258_r1,2258,10.1117/12.2003134,"Al Azawi, M., Liwicki, M. and Breuel, T. M. (2013). WFST-Based Ground Truth Alignment for Difficult Historical Documents with Text Modification and Layout Variations. Proceedings of the SPIE, Burlingame, CA, Document Recognition and Retrieval, vol. 20 (4 February), doi:10.1117/12.2003134.",xml_bibl,W2043514803,WFST-based ground truth alignment for difficult historical documents with text modification and layout variations,offline_doi,1
2263_r4,2263,10.1093/llc/fqu007,"Haentjens Dekker, R., Van Hulle, D., Middell, G., Neyt, V., and Van Zundert, J. (2014). Computer-Supported Collation of Modern Manuscripts. Literary and Linguistic Computing, http://dx.doi.org/doi:10.1093/llc/fqu007.",xml_bibl,W2058071972,Computer-supported collation of modern manuscripts: CollateX and the Beckett Digital Manuscript Project,offline_doi,1
2265_r1,2265,10.1093/llc/fqu005,"Russell, I. G. (2014). Geographical and Linguistic Diversity in the Digital Humanities. Literary and Linguistic Computing, 28 March, doi:10.1093/llc/fqu005.",xml_bibl,W2076771101,Geographical and linguistic diversity in the Digital Humanities,offline_doi,1
2269_r5,2269,10.2307/2575191,"Feibleman, J. K. (1967). The Philosophy of Tools. Social Forces, 45(3) (March): 329–37, DOI:10.2307/2575191, http://www.jstor.org/stable/257519.",xml_bibl,W4255530568,The Philosophy of Tools,offline_doi,1
2269_r8,2269,10.1007/s11251-006-9005-2,"Kim, B. and Reeves, T. (2007). Reframing Research on Learning with Technology: In Search of the Meaning of Cognitive Tools. Instructional Science, 35: 207–56, DOI:10.1007/s11251-006-9005-2.",xml_bibl,W2020781346,Reframing research on learning with technology: in search of the meaning of cognitive tools,offline_doi,1
2276_r2,2276,10.1108/00220411111105470,"Lee, C. A. (2011). A Framework for Contextual Information in Digital Collections. Journal of Documentation, 67(1): 95–143, doi:10.1108/00220411111105470.",xml_bibl,W2095023851,A framework for contextual information in digital collections,offline_doi,1
2282_r4,2282,10.1007/978-3-642-04898-2,doi :10.1007/978-3-642-04898-2.,xml_bibl,W1581231885,International Encyclopedia of Statistical Science,offline_doi,1
2282_r5,2282,10.1126/science.1199644,"Michel, J.-B., et al. (2011). Quantitative Analysis of Culture Using Millions of Digitized Books. Science, 331(17), doi:10.1126/science.1199644.",xml_bibl,W2019096529,Quantitative Analysis of Culture Using Millions of Digitized Books,offline_doi,1
2282_r6,2282,10.1016/s0020-0190(02)00447-7,"Trelea, I. C. (2003). The Particle Swarm Optimization Algorithm: Convergence Analysis and Parameter Selection. Information Processing Letters, 85(6): 317–25, ISSN 0020-0190, http://dx.doi.org/10.1016/S0020-0190(02)00447-7.",xml_bibl,W2081749411,The particle swarm optimization algorithm: convergence analysis and parameter selection,offline_doi,1
2291_r1,2291,10.1006/ijhc.1995.1081,NA,xml_doi_only,W2133109597,Toward principles for the design of ontologies used for knowledge sharing?,offline_doi,1
2297_r8,2297,10.1126/science.1240064,DOI:10.1126/science.1240064.,xml_bibl,W2044360356,A network framework of cultural history,offline_doi,1
2302_r1,2302,10.1145/2503859.2503883,"Casella, G. and Coelho, M. (2013). Augmented Heritage: Situating Augmented Reality Mobile Apps in Cultural Heritage Communication. In Proceedings of the 2013 International Conference on Information Systems and Design of Communication (ISDOC ’13). New York: ACM, pp. 138–40, DOI=10.1145/2503859.2503883, http://doi.acm.org/10.1145/2503859.2503883.",xml_bibl,W2037684005,Augmented heritage,offline_doi,1
2302_r3,2302,10.1109/ismar.2012.6402563,"Haugstvedt, A.-C. and Krogstie, J. (2012). Mobile Augmented Reality for Cultural Heritage: A Technology Acceptance Study. In Mixed and Augmented Reality (ISMAR), 2012 IEEE International Symposium, 5–8 November 2012, pp. 247–55, doi:10.1109/ISMAR.2012.6402563.",xml_bibl,W2098684637,Mobile augmented reality for cultural heritage: A technology acceptance study,offline_doi,1
2306_r2,2306,10.1515/libri-2013-0010,"Calzada Prado, J. and Marzal, M. A. (2013). Incorporating Data Literacy into Information Literacy Programs: Core Competencies and Contents. Libri, 63(2) (January), doi:10.1515/libri-2013-0010.",xml_bibl,W2318971084,Incorporating Data Literacy into Information Literacy Programs: Core Competencies and Contents,offline_doi,1
2306_r8,2306,10.1080/01930826.2013.756676,"Journal of Library Administration. (2013). 53(1), doi:10.1080/01930826.2013.756676.",xml_bibl,W1605799775,Introduction,offline_doi,1
2309_r5,2309,10.2307/2786835,"Krackhardt, D. and Stern, R. N. (1988). Informal Networks and Organizational Crises: An Experimental Simulation. Social Psychology Quarterly, 51(2): 123–40, doi: 10.2307/2786835.",xml_bibl,W2059837179,Informal Networks and Organizational Crises: An Experimental Simulation,offline_doi,1
2317_r5,2317,10.1080/01930826.2013.756680,"Sula, C. A. (2013). Digital Humanities and Libraries: A Conceptual Model. Journal of Library Administration, 53(1): 10–26, http://dx.doi.org/10.1080/01930826.2013.756680.",xml_bibl,W2130883452,Digital Humanities and Libraries: A Conceptual Model,offline_doi,1
2327_r4,2327,10.1353/cea.2014.0014,"Thomas, L. and Solomon, D. (2014). Active Users: Project Development and Digital Humanities Pedagogy. CEA Critic, 76(2) (July): 211–20, DOI:10.1353/cea.2014.0014.",xml_bibl,W1970166914,Active Users: Project Development and Digital Humanities Pedagogy,offline_doi,1
2342_r6,2342,NA,Te Ara—The Encyclopedia of New Zealand. (n.d.). http://www.teara.govt.nz/en.,xml_bibl,W4229752457,Te Ara - The Encyclopedia of New Zealand,offline_title_fuzzy,0.9809523809523809
2346_r5,2346,10.7208/chicago/9780226165097.001.0001,"Drucker, J. (2009). SpecLab. University of Chicago Press, Chicago, doi:10.7208/chicago/9780226165097.001.0001.",xml_bibl,W4243001764,SpecLab,offline_doi,1
2346_r11,2346,10.1177/030631289019003001,"Star, S. L. and Griesemer, J. R. (1989). Institutional Ecology, ‘Translations’ and Boundary Objects: Amateurs and Professionals in Berkeley’s Museum of Vertebrate Zoology, 1907–39. Social Studies of Science, 19(3): 387–420, doi:10.1177/030631289019003001.",xml_bibl,W1971670344,"Institutional Ecology, `Translations' and Boundary Objects: Amateurs and Professionals in Berkeley's Museum of Vertebrate Zoology, 1907-39",offline_doi,1
2347_r9,2347,10.1093/acprof:oso/9780195055108.001.0001,"Tilly, Ch. (2011). Transplanted Networks. In Yans-McLaughlin, V., Immigration Reconsidered: History, Sociology, and Politics. Oxford Scholarship Online, DOI:10.1093/acprof:oso/9780195055108.001.0001.",xml_bibl,W4242578441,Immigration Reconsidered,offline_doi,1
2348_r2,2348,10.1080/23257962.2014.951032,"Jones, M. and O’Neill, C. (2014). Identity, Records and Archival Evidence: Exploring the Needs of Forgotten Australians and Former Child Migrants, Archives and Records, 35(2), DOI:10.1080/23257962.2014.951032.",xml_bibl,W1966596976,"Identity, records and archival evidence: exploring the needs of Forgotten Australians and Former Child Migrants",offline_doi,1
2348_r3,2348,10.1080/01576895.2012.670872,"McCarthy, G. J. and Evans, J. (2012). Principles for Archival Information Services in the Public Domain. Archives & Manuscripts, 40(1): 54–67, DOI:10.1080/01576895.2012.670872.",xml_bibl,W2038534832,Principles for archival information services in the public domain,offline_doi,1
2348_r5,2348,10.1080/01576895.2012.668841,"O’Neill, C., Selakovic, V. and Tropea, R. (2012). Access to Records for People Who Were in Out-of-Home Care: Moving beyond ‘Third Dimension’ Archival Practice. Archives & Manuscripts, 40(1): 29–41, DOI:10.1080/01576895.2012.668841.",xml_bibl,W2012886212,Access to records for people who were in out-of-home care: moving beyond ‘third dimension’ archival practice,offline_doi,1
2350_r1,2350,10.1017/s0373463300043307,NA,xml_doi_only,W2143669109,Route Finding by Desert Aborigines in Australia,offline_doi,1
2350_r2,2350,10.1080/00664677.2013.843444,NA,xml_doi_only,W2019678543,The Archaeology of Memory: The Recursive Relationship of Martu Rock Art and Place,offline_doi,1
2350_r3,2350,10.1145/1959022.1959024,NA,xml_doi_only,W2104652891,Designing mobile interfaces for novice and low-literacy users,offline_doi,1
2357_r2,2357,10.1045/november2010-byrne,"Byrne, G., and Goddard, L. (2010). The Strongest Link: Libraries and Linked Data. D-Lib Magazine, 16(11/12), doi:10.1045/november2010-byrne.",xml_bibl,W2004487063,The Strongest Link: Libraries and Linked Data,offline_doi,1
2357_r5,2357,10.1080/19386389.2013.826095,"Lampert, C. K., and Southwick, S. B. (2013). Leading to Linking: Introducing Linked Data to Academic Library Digital Collections. Journal of Library Metadata, 13(2–3): 230–53, doi:10.1080/19386389.2013.826095.",xml_bibl,W2017737388,Leading to Linking: Introducing Linked Data to Academic Library Digital Collections,offline_doi,1
2357_r10,2357,10.1080/19411260903035809,"Singer, R. (2009). Linked Library Data Now! Journal of Electronic Resources Librarianship, 21(2): 114–26, doi:10.1080/19411260903035809.",xml_bibl,W2036539672,Linked Library Data Now!,offline_doi,1
2364_r4,2364,10.1093/llc/fqt066,"Eder, M. (2014). Does Size Matter? Authorship Attribution, Small Samples, Big Problem. Literary and Linguistic Computing, 29, doi:10.1093/llc/fqt066.",xml_bibl,W1970948046,"Does size matter? Authorship attribution, small samples, big problem",offline_doi,1
2367_r4,2367,10.1179/2047058413y.0000000115,"Engel, D. and Wharton, G. (2014). Reading between the Lines: Source Code Documentation as a Conservation Strategy for Software-Based Art. Studies in Conservation, 59(6): 404–15, doi:10.1179/2047058413Y.0000000115.",xml_bibl,W1989925373,Reading between the lines: Source code documentation as a conservation strategy for software-based art,offline_doi,1
2372_r2,2372,10.1126/science.1211177,"Science. (2011). An Aboriginal Australian Genome Reveals Separate Human Dispersals into Asia. 7 October, 334(6052): 94–98, doi: 10.1126/science.1211177.",xml_bibl,W2070821333,An Aboriginal Australian Genome Reveals Separate Human Dispersals into Asia,offline_doi,1
2376_r4,2376,10.1093/llc/fqu005,"Russell, I. G. (2014). Geographical and Linguistic Diversity in the Digital Humanities. Literary and Linguistic Computing, advanced access, DOI:10.1093/llc/fqu005.",xml_bibl,W2076771101,Geographical and linguistic diversity in the Digital Humanities,offline_doi,1
2376_r5,2376,10.1177/1555412007299458,"Thomas, D. and Brown, J. S. (2007). The Play of Imagination: Extending the Literary Mind. Games and Culture, 2(2): 149–72, doi:10.1177/1555412007299458.",xml_bibl,W3139092757,The Play of Imagination,offline_doi,1
2380_r1,2380,10.1086/673274,NA,xml_doi_only,W1962895639,From Shelves to Cyberspace: Organization of Knowledge and the Complex Identity of History of Science,offline_doi,1
2380_r2,2380,10.1086/673276,NA,xml_doi_only,W1518804275,Cross-Cutting Categorization Schemes in the Digital Humanities,offline_doi,1
2380_r3,2380,10.1109/iri.2012.6303017,NA,xml_doi_only,W2106684638,Interactive visualization of the social network of research collaborations,offline_doi,1
2380_r4,2380,10.1086/673275,NA,xml_doi_only,W2321813347,The Organization and Description of Science Archives in America,offline_doi,1
2380_r5,2380,10.1007/s11192-012-0940-1,NA,xml_doi_only,W2083084326,On bibliographic networks,offline_doi,1
2380_r6,2380,10.1109/asonam.2009.65,NA,xml_doi_only,W2122138403,Social Network Analysis as Knowledge Discovery Process: A Case Study on Digital Bibliography,offline_doi,1
2380_r7,2380,10.1109/asonam.2009.6,NA,xml_doi_only,W2130595888,Exploring Emergent Semantic Communities from DBLP Bibliography Database,offline_doi,1
2380_r8,2380,10.1086/669891,NA,xml_doi_only,W1810848165,Computational Perspectives in the History of Science: To the Memory of Peter Damerow,offline_doi,1
2380_r9,2380,10.1215/01903659-2151839,NA,xml_doi_only,W2066993925,Network Analysis and the Sociology of Modernism,offline_doi,1
