ref_id,work_id,ref_index,ref_title,ref_authors,ref_year,ref_doi,ref_type,ref_script,ref_lang_cld3,ref_quality
17_a4,17,4,Modeling the Operation of Critical Theory on the Computer,Havholm; Stewart,1996,NA,article-journal,Latin,en,anystyle
17_a5,17,5,Using a Narrative Generator to Teach Literary Theory,Havholm; Stewart,1996,NA,paper-conference,Latin,NA,anystyle
17_a6,17,6,Computers and Active Learning: Using the Stylistic Analysis and Linear Modeling Kits,Havholm; Stewart,1998,NA,paper-conference,Latin,en,anystyle
17_a7,17,7,Computers: Waiting for the Revolution,Madrick,NA,NA,article-journal,Latin,en,anystyle
17_a8,17,8,Understanding Computers and Cognition: A New Foundation for Design,Winograd; Flores,1987,NA,book,Latin,en,anystyle
18_a1,18,1,Visual Thinking,Arnheim,1980,NA,book,Latin,fil,anystyle
18_a2,18,2,"Engines of Inquiry: Teaching, Technology, and Learner-Centered Approaches to Culture and History",Bass,1998-10-26,NA,NA,Latin,en,anystyle
18_a3,18,3,Implementing the Seven Principles,Chickering; Ehrmann,1997,NA,NA,Latin,en,anystyle
18_a4,18,4,Seven Principles for Good Practice in Undergraduate Education,Chickering; Gamson,1987 1987-03,NA,article-journal,Latin,NA,anystyle
18_a5,18,5,The Eye of the Poet: Studies in the Reciprocity of the Visual and Literary Arts from the Renaissance to the Present,NA,1996,NA,NA,Latin,en,anystyle
18_a6,18,6,"From Short Fiction To Dramatic Event: Mental Imagery, The Perceptual Basis of Learning in the Aesthetic Reading Experience",Guezzar,2000 2000,NA,chapter,Latin,en,anystyle
18_a7,18,7,Ekphrasis: The Illusion of the Natural Sign,Krieger,1992,NA,book,Latin,en,anystyle
18_a8,18,8,Figuring Literary Theory and Refiguring Teaching: Graphics in the Undergraduate Literary Theory Course,Miller,2000 2000,NA,chapter,Latin,en,anystyle
18_a9,18,9,Picture Theory,Mitchell,1995,NA,book,Latin,en,anystyle
18_a10,18,10,Imagery & Verbal Processes,Paivio,1971,NA,book,Latin,en,anystyle
19_a1,19,1,RHComN: Research in Humanities Computing,NA,1991,NA,NA,Latin,en,anystyle
19_a2,19,2,A New Strategy for Dealing with Missing Chinese Characters,App; Wittern,1996 1996-02,NA,article-journal,Latin,en,anystyle
19_a3,19,3,ZenBase CD1,App; Kumiko; Wittern,1995,NA,book,Latin,st,anystyle
19_a4,19,4,Chinese Character Analysis Group,NA,1980 1980,NA,NA,Latin,NA,anystyle
19_a5,19,5,"Lexical Databases and Textual Corpora: A Trend of Convergence between Computational Linguistics and Literary and Linguistic Computing""",Calzolari; Zampolli,NA,NA,article-journal,Latin,en,anystyle
19_a6,19,6,The Humanities Computing Yearbook 1989-90 A Comprehensive Guide to Software and other Resources,NA,1991,NA,book,Latin,en,anystyle
19_a7,19,7,"Entwurf eines Modells der Verarbeitung von SGML-Dokumenten in versionsorientierten Hypertext-Systemen Das HyperSGML Konzept, Diss",Latz,1992 1992,NA,NA,Latin,de,anystyle
19_a8,19,8,"You Can�t Always Get What You Want: Deep Encoding of Manuscripts and the Limits of Retrieval""",Neuman,1996,NA,NA,Latin,en,anystyle
19_a9,19,9,"Collate: A program for Interactive Collation of Large Textual Traditions""",Robinson,1994,NA,NA,Latin,en,anystyle
19_a10,19,10,"Text Encoding and Enrichment""",Sperberg-McQueen,1991,NA,NA,Latin,en,anystyle
19_a11,19,11,Guidelines for Electronic Text Encoding and Interchange,NA,1994,NA,NA,Latin,en,anystyle
19_a12,19,12,"Chinese Character Encoding""",Wittern,1993 1993-07,NA,article-journal,Latin,NA,anystyle
19_a13,19,13,"Code und Struktur: Einige vorläufige Überlegungen zum Aufbau chinesischer Volltextdatenbanken""",Wittern,1994 1994-04-09,NA,article-journal,Latin,de,anystyle
19_a14,19,14,"The IRIZ KanjiBase""",Wittern,1995 1995-06,NA,article-journal,Latin,sl,anystyle
19_a15,19,15,"Chinese character codes: an update""",Wittern,1995 1995-06,NA,article-journal,Latin,en,anystyle
19_a16,19,16,"Minimal Markup and More - Some Requirements for Public Texts""",Wittern,1996,NA,paper-conference,Latin,en,anystyle
19_a17,19,17,"SMART: Format of the Index Files"", Technical note published on the Internet at <http://www.chibs.edu.tw/~chris/smart/smindex.htm >",Wittern,1999,NA,NA,Latin,en,anystyle
20_a1,20,1,Las lenguas de corpus y sus problemas linguisticos,NA,1996,NA,book,Latin,es,anystyle
20_a2,20,2,Metodos estadisticos y problemas de autoria. El libro IV de las Estratagemas de S,Espinilla Buisan,1998,NA,chapter,Latin,es,anystyle
20_a3,20,3,"Word-order transference between Latin and Greek: The relative position of the accusative direct object and the governing verb in Cassius Dio and other Greek and Roman prose authors""",Frischer; Holmes; Tweedie; al,forthcoming,NA,NA,Latin,en,anystyle
20_a4,20,4,"Authorship attribution""",Holmes,1994,NA,article-journal,Latin,NA,anystyle
20_a5,20,5,"Die Stellung des Verbs in der lateinischen Prosa""",Linde,1923,NA,article-journal,Latin,de,anystyle
20_a6,20,6,L'ordre des mots en latin,Marouzeau,1953,NA,book,Latin,fr,anystyle
20_a7,20,7,"Evidence for SVO in Latin?""",Pinkster,1991,NA,chapter,Latin,sl,anystyle
20_a8,20,8,"El estatuto linguistico del corpus latino: algunas precisiones""",Ramos Guerreira,1996,NA,chapter,Latin,es,anystyle
20_a9,20,9,Constituent order in the languages of Europe,NA,1998,NA,book,Latin,en,anystyle
20_a10,20,10,"The provenance of De Doctrina Christiana attributed to John Milton: a statistical investigation""",Tweedie,1998,NA,article-journal,Latin,en,anystyle
20_a11,20,11,"Analysis of classical Greek and Latin compositional word-order data""",Tweedie; Frischer,1999,NA,article-journal,Latin,en,anystyle
21_a1,21,1,Outside the cave of Shadows. Using syntactic annotation to enhance authorship attribution,Baayen; Halteren; Tweedie,1996,NA,article-journal,Latin,en,anystyle
21_a2,21,2,Not Unless You Ask Nicely: The Interpretative Nexus between Analysis and Information,Burrows,1992,NA,article-journal,Latin,en,anystyle
21_a3,21,3,The evolution of stylometry in humanities scholarship,Holmes,1998,NA,article-journal,Latin,en,anystyle
21_a4,21,4,"Shakespeare, Fletcher, and the Two Noble Kinsmen",Ledger; Merriam,1994,NA,article-journal,Latin,NA,anystyle
21_a5,21,5,How Variable May a Constant Be? Measures of Lexical Richness in Perspective,Tweedie; Baayen,1998,NA,article-journal,Latin,en,anystyle
22_a1,22,1,'The Body and the Archive',Sekula,1996,NA,chapter,Latin,en,anystyle
23_a1,23,1,Automatic Morphological Analysis of Basque,Alegria; Artola; Sarasola; Urkia,1996,NA,article-journal,Latin,en,anystyle
23_a2,23,2,Two-Level Rule Compiler,Karttunen; Beesley,1992,NA,book,Latin,en,anystyle
23_a3,23,3,Finite-State Lexicon Compiler,Karttunen,1993,NA,chapter,Latin,it,anystyle
23_a4,23,4,Constructing Lexical Transducers,Karttunen,1994,NA,paper-conference,Latin,en,anystyle
23_a5,23,5,Two-level Morphology: A general Computational Model for Word-Form Recognition and Production,Koskenniemi,1983,NA,book,Latin,en,anystyle
23_a6,23,6,From Psycholinguistic Modelling of Interlingua to a Computational Model,Maritxalar; Ilarraza; Oronoz,1997 1997,NA,paper-conference,Latin,en,anystyle
23_a7,23,7,Bertsolaritza,NA,1980 1980,NA,article-journal,Latin,eu,anystyle
25_a1,25,1,Softsound Speech/Text alignment <http://www.softsound.com/SpeechText.html>,NA,NA,NA,NA,Latin,lb,anystyle
25_a2,25,2,Corpus WorkBench <http://www.ims.uni-stuttgart.de/projekte/CorpusWorkbench/index.html>,NA,NA,NA,NA,Latin,NA,anystyle
25_a3,25,3,Demo concordance <http://helmer.hit.uib.no/test-of-sound.html>,NA,NA,NA,NA,Latin,NA,anystyle
26_a1,26,1,Philosophy and Electronic Publishing. Theory and Metatheory in the Development of Text Encoding,NA,1997,NA,article-journal,Latin,en,anystyle
26_a2,26,2,"Norma""",Ibsen,1851,NA,article-journal,Latin,en,anystyle
26_a3,26,3,"Refining our Notion of What Text Really Is: The Problem of Overlapping Hierarchies""",Renear; Mylonas; Durand,1993,NA,NA,Latin,en,anystyle
26_a4,26,4,"Concurrent Document Hierarchies in MECS and SGML""",Sperberg-McQueen; Huitfeldt,1998,NA,NA,Latin,en,anystyle
26_a5,26,5,Guidelines for Text Encoding and Interchange,NA,1994,NA,chapter,Latin,en,anystyle
27_a1,27,1,Index of English Literary Manuscripts,Beal,1980,NA,NA,Latin,NA,anystyle
27_a2,27,2,Full Disclosure. Releasing the Value of Library and Archive Collections,Chapman; Kingsley; Dempsey,1999,NA,book,Latin,en,anystyle
27_a3,27,3,Writing Women's Literary History,Ezell,1993,NA,book,Latin,sn,anystyle
27_a4,27,4,Early Seventeenth-Century Verse Miscellany Manuscripts,Hobbs,1992,NA,book,Latin,en,anystyle
27_a5,27,5,Scoping the Future of Oxford's Digital Collections,Lee,1998,NA,NA,Latin,en,anystyle
27_a6,27,6,Scribal Publication in Seventeenth-Century England,Love,1993,NA,book,Latin,NA,anystyle
27_a7,27,7,"Manuscript, Print, and the English Renaissance Lyric",Marotti,1995,NA,book,Latin,NA,anystyle
27_a8,27,8,The construction of Dublin Core Metadata by non-specialist users,Whittaker,1999,NA,thesis,Latin,en,anystyle
27_a9,27,9,"On the Author Effect: Recovering Collectivity""",Woodmansee,1994,NA,chapter,Latin,en,anystyle
27_a10,27,10,Sir Philip Sidney and the Circulation of Manuscripts 1558-1640,Woudhuysen,1996,NA,book,Latin,en,anystyle
28_a1,28,1,Encoding Rendition in Primary Source Texts Using TEI,Caton; Flanders,1999 1999-06-12,NA,manuscript,Latin,en,anystyle
28_a2,28,2,Software from the Institute for Advanced Technology in the Humanities,NA,NA,NA,NA,Latin,en,anystyle
28_a3,28,3,Refining Our Notions of What (Digital) Images Really Are,Kirschenbaum,1999 1999-06-10,NA,NA,Latin,en,anystyle
28_a4,28,4,Humanities Computing as Interdiscipline,McCarty,NA,NA,NA,Latin,NA,anystyle
29_a1,29,1,Monitoring dictionary use,Atkins; Varantola,1997,NA,article-journal,Latin,NA,anystyle
29_a2,29,2,Using dictionaries of Australian Aboriginal languages,Corris; Manning; Poetsch; Simpson,1999,NA,chapter,Latin,la,anystyle
29_a3,29,3,Accurate methods for the statistics of surprise and coincidence,Dunning,1993,NA,article-journal,Latin,en,anystyle
29_a4,29,4,Online Animated Graph Drawing using a Modified Spring Algorithm,Eades; Huang; Wang,1998,NA,paper-conference,Latin,en,anystyle
29_a5,29,5,Lexicographic Research on Australian Languages 1968 - 1993,Goddard; Thieberger,1997,NA,chapter,Latin,en,anystyle
29_a6,29,6,WebOFDAV: Navigating and visualizing the Web on-line with animated context swapping,Huang; Eades; Cohen,1998,NA,paper-conference,Latin,en,anystyle
29_a7,29,7,Kirrkirr: Interactive Visualisation And Multimedia From A Structured Warlpiri Dictionary,Jansz; Manning; Indurkhya,1999,NA,paper-conference,Latin,en,anystyle
29_a8,29,8,Machine-Readable Dictionaries and Education,Kegl,1995,NA,chapter,Latin,en,anystyle
29_a9,29,9,"Warlpiri Dictionary Project: Aims, method, organisation and problems of definition",Laughren; Nash,1983,NA,chapter,Latin,en,anystyle
29_a10,29,10,Introduction to WordNet: An On-line Lexical Database WordNet: An electronic lexical database,Miller; Beckwith; Fellbaum; Gross; Miller,1993 1998,NA,book,Latin,en,anystyle
29_a11,29,11,Scatter/Gather Browsing Communicates the Topic Structure of a Very large Text Collection,Pirolli; Schank; Hearst; Diehl,1996,NA,paper-conference,Latin,en,anystyle
29_a12,29,12,Visual Thesaurus Java applet <http://www.plumbdesign.com/thesaurus>,NA,1998,NA,NA,Latin,NA,anystyle
29_a13,29,13,"Electronic Dictionaries with Particular Reference to an Electronic Bilingual Dictionary for English-speaking Learners of Japanese""",Sharpe,1995,NA,article-journal,Latin,en,anystyle
29_a14,29,14,Extensible Markup Language (XML) 1.0 W3C Recommendation 10-February-1998,NA,1998,NA,NA,Latin,NA,anystyle
29_a15,29,15,Extensible Stylesheet Language (XSL) Version 1.0 Working Draft,NA,1998,NA,NA,Latin,jv,anystyle
30_a1,30,1,Mittelhochdeutsche Woerterbuecher auf CD-ROM und im Internet. Der Einsatz von SGML in der Retrodigitalisierung lexikographischer Standardwerke,Burch; Fournier; Gaertner,1998/2,NA,article-journal,Latin,de,anystyle
30_a2,30,2,Digitale Dialektik. Chancen und Probleme mittelhochdeutscher Woerterbuecher in elektronischer Form,Fournier,NA,NA,chapter,Latin,de,anystyle
30_a3,30,3,Zur Anwendung der TEI-Richtlinien auf die Retrodigitalisierung mittelhochdeutscher Woerterbuecher,Burch; Fournier,NA,NA,chapter,Latin,de,anystyle
31_a1,31,1,The Correspondence of Stephen Crane,NA,1988,NA,NA,Latin,sr,anystyle
31_a2,31,2,"Tales, Sketches and Reports",NA,1973,NA,book,Latin,en,anystyle
31_a3,31,3,"Not Unless You Ask Nicely: The Interpretive Nexus Between Analysis and Information""",Burrows,1992,NA,article-journal,Latin,en,anystyle
34_a1,34,1,A Guide to ParaConc,Barlow,1995,NA,NA,Latin,en,anystyle
34_a2,34,2,Review: WordSmith Tools,Berber Sardinha,1996,NA,article-journal,Latin,en,anystyle
34_a3,34,3,XCORPUS - Version 0.2: A Corpus Toolkit Environment,Bonhomme; Romary,1997,NA,NA,Latin,NA,anystyle
34_a4,34,4,Computer Assisted Lemmatisation of a Diachronic Corpus of Cornish,Mills,1995 1995-07-07,NA,paper-conference,Latin,en,anystyle
34_a5,34,5,Lexicon Based Critical Tokenisation: An Algorithm,Mills,1998,NA,paper-conference,Latin,gl,anystyle
34_a6,34,6,A Logical Approach to the Lemmatisation of Computational Lexica,Mills,1999 1998-01-25,NA,paper-conference,Latin,en,anystyle
34_a7,34,7,Review of Multiconcord: The Lingua Multilingual Parallel Concordancer for Windows,John; Chattle,1998 March 98,NA,article-journal,Latin,en,anystyle
39_a1,39,1,"An American National Corpus: A Proposal""",Fillmore; Ide; Jurafsky; Macleod,May 28-30,NA,paper-conference,Latin,NA,anystyle
39_a2,39,2,"British National Corpus: User's Reference Guide for the British National Corpus""",NA,1955 1955-05,NA,book,Latin,en,anystyle
39_a3,39,3,"CES/XML: An XML-based Standard for Linguistic Corpora""",Ide; Romary; Bonhomme,submitted,NA,paper-conference,Latin,NA,anystyle
39_a4,39,4,"Manual of Information to Accompany 'A Standard Sample of Present-Day Edited American English, for Use with Digital Computers'""",Francis; Kucera,1964,NA,NA,Latin,en,anystyle
46_a1,46,1,Document Structure and markup in the FRESS hypertext system,DeRose; Dam,1999,NA,article-journal,Latin,en,anystyle
46_a2,46,2,Stijn Streuvels. De teleurgang van den Waterhoek. Elektronisch-kritische editie,Smedt; Vanhoutte,2000,NA,book,Latin,nl,anystyle
46_a3,46,3,Textual Criticism and the Text Encoding Initiative,Sperberg-McQueen,1994 1994,NA,chapter,Latin,en,anystyle
46_a4,46,4,Guidelines for Electronic Text Encoding and Interchange,Sperberg-McQueen; Burnard,1994,NA,NA,Latin,en,anystyle
46_a5,46,5,"The Rationale of HyperText.""",McGann,1996,NA,article-journal,Latin,en,anystyle
46_a6,46,6,Geoffrey Chaucer. The Wife of Bath's Prologue,Robinson,1996,NA,book,Latin,en,anystyle
46_a7,46,7,Initiatives Towards a Standard Encoding for Manuscript Descriptions,Robinson; Burnard; Proffitt; Driscoll,1999 1999,NA,chapter,Latin,ca,anystyle
46_a8,46,8,"Textual Variation and Version Control in the TEI.""",Smith,1999,NA,article-journal,Latin,en,anystyle
46_a9,46,9,Where is the editor? Resistance in the creation of an electronic critical edition,Vanhoutte,1998 1998,NA,chapter,Latin,en,anystyle
49_a1,49,1,'From innovation to integration.' Villes visite virtuelle,Deegan,2000,NA,book,Latin,NA,anystyle
49_a2,49,2,'Digital Text in Humanities Teaching.',Porter; McRory,1998,NA,chapter,Latin,NA,anystyle
49_a3,49,3,'Cyberspace without Tears: Fundamental Approaches to the Uses of Technology in the Classroom.',Talarico,1999 1999-06,NA,article-journal,Latin,en,anystyle
49_a4,49,4,'Timelines OnLine: Hypermedia and Information Architecture in the Representation of Intellectual History.',Zuern,1999 1999-06-12,NA,NA,Latin,en,anystyle
51_a1,51,1,Consistency and Accuracy in Correcting Automatically Tagged Data,Baker,1997,NA,chapter,Latin,en,anystyle
51_a2,51,2,Machine Learning: Paradigms and Methods,NA,1990,NA,chapter,Latin,en,anystyle
51_a3,51,3,Elements of Machine Learning,Langley,1996,NA,book,Latin,en,anystyle
51_a4,51,4,Building a large annotated Corpus of English: the Penn Treebank,Marcus; Santorini; Marcinkiewicz,1993,NA,article-journal,Latin,en,anystyle
52_a1,52,1,Users Reference Guide British National Corpus Version 1.0,Burnard,1995,NA,book,Latin,en,anystyle
52_a2,52,2,TiMBL: Tilburg Memory Based Learner version 2 Reference Guide,Daelemans,1999,NA,report,Latin,NA,anystyle
52_a3,52,3,Automatic Resolution of Anaphora in English,Denber,1998,NA,book,Latin,en,anystyle
52_a4,52,4,An Algorithm for Pronominal Anaphora Resolution,Lappin; Leass,1994,NA,article-journal,Latin,NA,anystyle
52_a5,52,5,Cue Phrase Classification Using Machine Learning,Litman,1996,NA,article-journal,Latin,en,anystyle
52_a6,52,6,LT_CHUNK V 2.1,Mikheev,1996,NA,book,Latin,NA,anystyle
52_a7,52,7,Towards the Automatic Recognition of Anaphoric Features in English Text: The Impersonal Pronoun 'It',Paice; Husk,1987,NA,article-journal,Latin,en,anystyle
52_a8,52,8,English for the Computer: The SUSANNE Corpus and Analytic Scheme,Sampson,1995,NA,book,Latin,en,anystyle
52_a9,52,9,A Non-Projective Dependency Parser,Tapanainen; Jarvinen,1997,NA,paper-conference,Latin,en,anystyle
53_a1,53,1,Fixed Order of Coordinates,Abraham,1950,NA,article-journal,Latin,en,anystyle
53_a2,53,2,The Language of News Media,Bell,1996,NA,NA,Latin,NA,anystyle
53_a3,53,3,Cognitive structuring in legislative provisions,Bhatia,1994,NA,chapter,Latin,NA,anystyle
53_a4,53,4,"Integration and Involvement in Speaking, Writing, and Oral Literature",Chafe,1982,NA,chapter,Latin,en,anystyle
53_a5,53,5,Order,Cooper; Ross,1975,NA,chapter,Latin,NA,anystyle
53_a6,53,6,"Investigating English Style, Longmans",Crystal; Davy,1969,NA,NA,Latin,NA,anystyle
53_a7,53,7,Regularity and Idiomaticity in Grammatical Constructions: The Case of Let Alone,Fillmore; Kay; O'Connor,1988,NA,article-journal,Latin,en,anystyle
53_a8,53,8,Wortpaare im heutigen Deutsch,Fix,1985,NA,article-journal,Latin,de,anystyle
53_a9,53,9,More Paired Words in Othello,Gerritsen,1958,NA,article-journal,Latin,en,anystyle
53_a10,53,10,Reversible Binomials in Afrikaans,Gold,1991,NA,article-journal,Latin,nl,anystyle
53_a11,53,11,Binomial Expressions in Present-day English,Gustafsson,1975,NA,book,Latin,en,anystyle
53_a12,53,12,The syntactic features of binomial expressions in legal English,Gustafsson,1984,NA,article-journal,Latin,en,anystyle
53_a13,53,13,Part and Parcel: A Linguistic Analysis of Binomials and its Application to the Internal Characterization of Corpora,Hatzidaki,1999,NA,thesis,Latin,en,anystyle
53_a14,53,14,Die Wertwelt Chaucers,Héraucourt,1939,NA,book,Latin,de,anystyle
53_a15,53,15,An Introduction,Johnstone,1987,NA,article-journal,Latin,en,anystyle
53_a16,53,16,Arabic Lexical Couplets and the Evolution of Synonymy,Koch,1983,NA,article-journal,Latin,en,anystyle
53_a17,53,17,Irony in the Text or Insincerity in the Writer - The Diagnostic Potential of Semantic Prosodie,Louw,1993,NA,chapter,Latin,en,anystyle
53_a18,53,18,Studies in Irreversible Binomials,Malkiel,1959,NA,article-journal,Latin,nl,anystyle
53_a19,53,19,The Language of the Law,Mellinkoff,1963,NA,book,Latin,en,anystyle
53_a20,53,20,A Quantitative Approach to the Style of Jonathan Swift,Milic,1967,NA,book,Latin,en,anystyle
53_a21,53,21,Fixed Expressions and Idioms in English,Moon,1998,NA,book,Latin,en,anystyle
53_a22,53,22,Paired Words in Othello: Shakespeare's Use of a Stylistic Device,Nash,1958,NA,article-journal,Latin,en,anystyle
53_a23,53,23,Semantic Relations and Motivation in Idioms,Norrick,1980,NA,chapter,Latin,en,anystyle
53_a24,53,24,Shaw: The Style and the Man,Ohmann,1962,NA,book,Latin,en,anystyle
53_a25,53,25,Chaucer's Untransposable Binomials,Potter,1972,NA,chapter,Latin,NA,anystyle
53_a26,53,26,The Search for Units of Meaning,Sinclair,1996,NA,article-journal,Latin,en,anystyle
53_a27,53,27,Die Aureate Terms als Stilelement bei Lydgate,Tilgner,1936,NA,article-journal,Latin,de,anystyle
53_a28,53,28,Making News News Analysis,Tuchman; Dijk,1978 1988,NA,book,Latin,sn,anystyle
55_a1,55,1,"Forms and Meanings: Texts, Performances, and Audiences from Codex to Computer",Chartier,1995,NA,book,Latin,en,anystyle
55_a2,55,2,Theories of the Text,Greetham,1999,NA,book,Latin,en,anystyle
55_a3,55,3,"E-dissertations?"" Online posting Humanist Discussion Group",Kirschenbaum,1998 1998-10-04 1998-10-06,NA,NA,Latin,en,anystyle
55_a4,55,4,"Principles for Electronic Archives, Scholarly Editions, and Tutorials",Shillingsburg,1996,NA,chapter,Latin,en,anystyle
56_a1,56,1,Suidae Lexicon,NA,1928,NA,NA,Latin,NA,anystyle
56_a2,56,2,Perseus: An Evolving Digital Library of Ancient Greece <http://www.perseus.tufts.edu/>,NA,NA,NA,NA,Latin,en,anystyle
56_a3,56,3,The Stoa: A Consortium for Electronic Publication in the Humanities <http://www.stoa.org/>,NA,NA,NA,NA,Latin,en,anystyle
56_a4,56,4,The Suda On Line <http://www.stoa.org/sol/>,NA,NA,NA,NA,Latin,en,anystyle
56_a5,56,5,Thesaurus Linguae Graecae <http://www.uci.edu/~tlg>,NA,NA,NA,NA,Latin,NA,anystyle
57_a1,57,1,"The Chronology of Shakespeare's Plays: A Statistical Study""",Brainerd,1980,NA,article-journal,Latin,en,anystyle
57_a2,57,2,"Stylochronometry with Substrings Or: A Poet Young and Old""",Forsyth,1999,NA,article-journal,Latin,en,anystyle
57_a3,57,3,"Feature Finding for Text Classification""",Forsyth; Holmes,1996,NA,article-journal,Latin,en,anystyle
57_a4,57,4,The Evolution of Stylometry in Humanities Scholarship,Holmes,1998,NA,article-journal,Latin,en,anystyle
57_a5,57,5,The Complete Poems of Emily Dickinson,NA,1961,NA,book,Latin,en,anystyle
57_a6,57,6,"Stylometric Method and the Chronology of Plato's Works (review article)"".Bryn Mawr",Keyser,1992,NA,article-journal,Latin,en,anystyle
57_a7,57,7,"Stylometry and Method: The Case of Euripides""",Laan,1995,NA,article-journal,Latin,en,anystyle
57_a8,57,8,"Plato and the Computer""",Robinson,1992,NA,article-journal,Latin,NA,anystyle
58_a1,58,1,Word patterns and stay shapes: the statistical analysis of narrative style,Burrows,1987,NA,article-journal,Latin,en,anystyle
58_a2,58,2,"Shakespeare, Fletcher and the Two Noble Kinsmen",Ledger; Merriam,1994,NA,article-journal,Latin,NA,anystyle
58_a3,58,3,The Magic Carpet Ride: Reader Involvement in Romantic Fiction,Opas; Tweedie,1999,NA,article-journal,Latin,NA,anystyle
58_a4,58,4,Come into my World: Styles of Stance in Detective and Romantic Fiction,Opas; Tweedie,1999 247,NA,paper-conference,Latin,en,anystyle
58_a5,58,5,How Variable May a Constant Be? Measures of Lexical Richness in Perspective,Tweedie; Baayen,1998,NA,article-journal,Latin,en,anystyle
59_a1,59,1,Corpora in translation studies: An overview and some suggestions for future research,Baker,1995 1995,NA,article-journal,Latin,en,anystyle
59_a2,59,2,Corpus-based translation studies: The challenges that lie ahead,Baker,1996,NA,chapter,Latin,NA,anystyle
59_a3,59,3,KPML Development Environment: multilingual linguistic resource development and sentence generation,Bateman,1997,NA,chapter,Latin,NA,anystyle
59_a4,59,4,Language as social semiotic,Halliday,1978,NA,book,Latin,NA,anystyle
59_a5,59,5,An introduction to Functional Grammar,Halliday,1985,NA,book,Latin,en,anystyle
59_a6,59,6,A Contrastive Analysis of Multilingual Corpora (English-German,Hansen,1999,NA,thesis,Latin,NA,anystyle
59_a7,59,7,Kontrastive Analyse von Übersetzungskorpora: ein funktionales Modell,Hansen; Teich,1999,NA,chapter,Latin,de,anystyle
59_a8,59,8,The English Comparable Corpus (ECC): A Resource and a Methodology for the Empirical Study of Translation,Laviosa-Braithwaite,1996,NA,thesis,Latin,en,anystyle
59_a9,59,9,Towards a methodology for the construction of multilingual resources for multilingual generation,Teich,1995 1995-08,NA,paper-conference,Latin,en,anystyle
59_a10,59,10,Towards a model for the description of cross-linguistic divergence and commonality in translation,Teich,1999,NA,chapter,Latin,en,anystyle
