ref_id,work_id,ref_doi,ref_search,oa_title,correct,ref_quality,openalex_id,match_method,confidence
883_a19,883,NA,Building Learning Communities in Online Swan 2002,Building Learning Communities,1,anystyle,W4414230788,offline_title_fuzzy,0.948717948717949
909_a12,909,NA,"Intelligence in Everyday Life, LNAI 3864",Intelligence in Everyday Life,1,anystyle,W7125582043,offline_title_fuzzy,0.948717948717949
9024_a4,9024,NA,The Human Presence in Digital Galey 2010,The Human Presence in Digital Artefacts,1,anystyle,W4303092061,offline_title_fuzzy,0.948717948717949
626_a70,626,NA,A Critical Examination of Assumptions Sanford; Aked; Moxey; Mulin 1994,A Critical Examination of ‘Humanity’,0,anystyle,W2904310026,offline_title_fuzzy,0.94870826709062
767_a11,767,NA,Institutional Repositories: Essential Lynch,Institutional repositories (IR),1,anystyle,W6949534959,offline_title_fuzzy,0.948659003831418
10483_r3,10483,NA,Digital Humanities Austria: http://clarin.arz.oeaw.ac.at/dha/.,Digital Humanities Austria Taxonomy,0,xml_bibl,W6921388500,offline_title_fuzzy,0.948571428571429
587_a2,587,NA,Image Retrieval: Theory and Jörgensen 2003,Image Retrieval: Theory and Research,1,anystyle,W2018938181,offline_title_fuzzy,0.948571428571429
1196_a1,1196,NA,Using Corpora in Discourse,Using corpora in discourse analysis,1,anystyle,W4300243878,offline_title_fuzzy,0.948571428571429
1483_a2,1483,NA,Characteristics of a productive research environment: Literature review Bland; Ruffin 1992,Characteristics of a productive research environment,1,anystyle,W1985237176,offline_title_fuzzy,0.948571428571429
1975_a7,1975,NA,"Cartographie Sémantique, des connaissances à la carte, thèse de doctorat Tricot 2006",Cartographie sémantique : des connaissances à la carte,1,anystyle,W2294371598,offline_title_fuzzy,0.948571428571429
3813_a16,3813,NA,Mapping Digital Humanities Sugimoto; Thelwall; Larivière; Ding; Milojevic 2013,Mapping digital humanities in India,0,anystyle,W2610836031,offline_title_fuzzy,0.948571428571429
3905_a5,3905,NA,Processing and Recognition 2014,Processing and Recognition of Voice,1,anystyle,W2020301447,offline_title_fuzzy,0.948571428571429
1653_a1,1653,NA,Should Liberal Arts Campuses Do Digital Humanities? Process and Products in the Small College World. Debates in the Digital Humanities Alexander; Davis 2012,Should Liberal Arts Campuses Do Digital Humanities? Process and Products in the Small College World,1,anystyle,W2496751202,offline_title_fuzzy,0.948484848484848
1909_a1,1909,NA,Should Liberal Arts Campuses Do Digital Humanities? Process and Products in the Small College World.”Debates in the Digital Humanities Alexander; Davis 2012,Should Liberal Arts Campuses Do Digital Humanities? Process and Products in the Small College World,1,anystyle,W2496751202,offline_title_fuzzy,0.948484848484848
1913_a5,1913,NA,Should Liberal Arts Campuses Do Digital Humanities? Process and Products in the Small College World. Debates in the Digital Humanities Alexander; Davis 2012,Should Liberal Arts Campuses Do Digital Humanities? Process and Products in the Small College World,1,anystyle,W2496751202,offline_title_fuzzy,0.948484848484848
2135_a4,2135,NA,"XML-Kodierung des Bonner Frühneuhochdeutschkorpus, Universität Bonn Diel; Fisseni; Lenders; Schmitz 2002",XML-Kodierung des Bonner Frühneuhochdeutschkorpus,1,anystyle,W7044085563,offline_title_fuzzy,0.948484848484848
685_a4,685,NA,Supporting annotation as a scholarly tool: experiences from the Online Bradley; Vetch 2005,Supporting Annotation as a Scholarly Tool--Experiences From the Online Chopin Variorum Edition,1,anystyle,W2122080230,offline_title_fuzzy,0.948387096774194
1397_a5,1397,NA,"How much do formal narrative annotations differ? A Proppian case study Münster: MV-Wissenschaft Bod; Löwe; Saraf 2011 July 4–6, 2011",HOW MUCH DO FORMAL NARRATIVE ANNOTATIONS DIFFER? A Proppian case study,1,anystyle,W184976160,offline_title_fuzzy,0.948387096774194
4016_a3,4016,NA,Graphesis: visual forms of knowledge production. MetaLABprojects Drucker 2014,Graphesis: visual forms of knowledge production,1,anystyle,W2291191114,offline_title_fuzzy,0.948387096774194
701_a13,701,NA,User Centred Interactive Search: A study of humanities users in a digital library environment Warwick; A.; Buchanan 2005 June 15-18,User Centred Interactive Search: a Study of Humanities Researchers in a Digital Library Environment,1,anystyle,W2222490958,offline_title_fuzzy,0.948375537505972
1043_a6,1043,NA,Computational Stylistics and Translated Texts,Computational stylistics and text analysis,0,anystyle,W6999532255,offline_title_fuzzy,0.948253968253968
713_a1,713,NA,"Gender, Genre, and Writing Style in Formal Shimoni","Gender, genre, and writing style in formal written texts",1,anystyle,W2063205814,offline_title_fuzzy,0.948148148148148
714_a1,714,NA,"Gender, Genre and Writing Style in Formal Shimoni","Gender, genre, and writing style in formal written texts",1,anystyle,W2063205814,offline_title_fuzzy,0.948148148148148
746_a4,746,NA,"Gender, Genre, and Writing Style in Formal Shimoni","Gender, genre, and writing style in formal written texts",1,anystyle,W2063205814,offline_title_fuzzy,0.948148148148148
747_a1,747,NA,"Gender, Genre and Writing Style in Formal Shimoni","Gender, genre, and writing style in formal written texts",1,anystyle,W2063205814,offline_title_fuzzy,0.948148148148148
3832_a15,3832,NA,"Towards an Intellectual History of Digitisation: Myths,Dystopias, and Discursive Shifts in Museum Computing” Sartori 2015 2015-03","Towards an intellectual history of digitization: Myths, dystopias, and discursive shifts in museum computing",1,anystyle,W2134764887,offline_title_fuzzy,0.948113553113553
696_a5,696,NA,Automated detection and annotation of term definitions in Storrer; Wellinghoff 2006,Automated detection and annotation of term definitions in German text corpora,1,anystyle,W2756782426,offline_title_fuzzy,0.948051948051948
1881_a7,1881,NA,Learning to extract information from semistructured text using a discriminative context free grammar Viola; Narasimhand 2005,Learning to extract information from semi-structured text using a discriminative context free grammar,1,anystyle,W2041522124,offline_title_fuzzy,0.948019801980198
909_a7,909,NA,Fuzzy Sets and Fuzzy Logic: Theory and Klir; Yuan,Fuzzy sets and fuzzy logic: theory and applications,1,anystyle,W4205471131,offline_title_fuzzy,0.948
324_a9,324,NA,The Devoicing of Fricatives in Standard Velde; Hans; Hout 1996,The Devoicing of Fricatives in a Reading Task,0,anystyle,W7018530521,offline_title_fuzzy,0.947971210076473
1476_a4,1476,NA,Style-markers in authorship attribution: a cross-language study of the authorial fingerprint.Studies in Polish Linguistics 6 Eder 2011,Style-markers in authorship attribution : a cross-language study of the authorial fingerprint,1,anystyle,W2599132864,offline_title_fuzzy,0.947967479674797
3787_a2,3787,NA,Constructing Grounded Theory: A Practical Guide Through Qualitative Analysis The Practice of Everyday Life Charmaz; Certeau 2006 1984,constructing grounded theory a practical guide through qualitative analysis pdf,1,anystyle,W6949015227,offline_title_fuzzy,0.94794454490657
2039_a6,2039,NA,Images du Moyen Âge dans la ville : l'inscription spatiale de médiévalité »Communication et langage Patrick 2012 2012-03,Images du Moyen Âge dans la ville : l’inscription spatiale de médiévalité,1,anystyle,W1990362293,offline_title_fuzzy,0.947916666666667
65_a3,65,NA,Computation into Criticism: a study of Jane Austen and an experiment in method Burrows 1987,Computation into Criticism: A Study of Jane Austen's Novels and an Experiment in Method,1,anystyle,W2316815835,offline_title_fuzzy,0.947900936273029
1241_a14,1241,NA,Disciplinary Differences in Research Data,Disciplinary Differences in Opening Research Data,0,anystyle,W2982041757,offline_title_fuzzy,0.947834743653559
476_a12,476,NA,From Instrumental Texts to Textual Wardrip-Fruin,From Instrumental Texts to Textual Instruments,1,anystyle,W2187919382,offline_title_fuzzy,0.947826086956522
750_a27,750,NA,The Visual Display of Quantitative Tufte,The Visual Display of Quantitative Information,1,anystyle,W2029135525,offline_title_fuzzy,0.947826086956522
1748_a9,1748,NA,Towards Hermeneutic Markup: an Architectural Outline at King's College Piez 2010 2010-07,Towards Hermeneutic Markup: An architectural outline.,1,anystyle,W2185336139,offline_title_fuzzy,0.947826086956522
1934_a2,1934,NA,"Roy Rosenzweig Center for History and New Media, n.d PressForward 2013-10-30",Roy Rosenzweig Center for History and New Media Website Archive,1,anystyle,W6903771659,offline_title_fuzzy,0.947712418300654
2021_a1,2021,NA,The Electronic Scottish National Dictionary (eSND Rennie 2001,The Electronic Scottish National Dictionary (eSND): work in progress,1,anystyle,W2148329989,offline_title_fuzzy,0.947692307692308
3810_a3,3810,NA,A statistical study on Chinese word and character usage in literatures from the Chen; Guo; Liu 2012,A Statistical Study on Chinese Word and Character Usage in Literatures from the Tang Dynasty to the Present,1,anystyle,W2027472019,offline_title_fuzzy,0.947663551401869
2805_r11,2805,NA,Mapping the Republic of Letters. http://republicofletters.stanford.edu/index.html (accessed 8 May 2015).,Mapping the Republic of Letters,1,xml_bibl,W7114803838,offline_title_fuzzy,0.947619047619048
1485_a5,1485,NA,TEI P5: Guidelines for Electronic Text Encoding and Interchange by the TEI Consortium 2008,TEI P5: Guidelines for Electronic Text Encoding and Interchange,1,anystyle,W7082284936,offline_title_fuzzy,0.947619047619048
1485_a6,1485,NA,TEI P5: Guidelines for Electronic Text Encoding and Interchange by the TEI Consortium 2011,TEI P5: Guidelines for Electronic Text Encoding and Interchange,1,anystyle,W7082284936,offline_title_fuzzy,0.947619047619048
2021_a5,2021,NA,ABU : la Bibliothèque Universelleabu.cnam.fr,ABU la bibliothèque universelle,1,anystyle,W6979726395,offline_title_fuzzy,0.947619047619048
7724_a10,7724,NA,"Mapping acidification research: A test of the co-word method, Sci- entometrics p.23 Law; Whittaker 1992",Mapping acidification research: A test of the co-word method,1,anystyle,W2092307040,offline_title_fuzzy,0.9475
602_a13,602,NA,Identifying and Interpreting Wolfram 1993,Identifying and interpreting variables,1,anystyle,W2476460572,offline_title_fuzzy,0.947368421052632
984_a32,984,NA,Computers and the Humanities 25.401-29,Computers and the Humanities,1,anystyle,W2020352922,offline_title_fuzzy,0.947368421052632
1890_a8,1890,NA,Can Digital Technologies increase Engagement with Community History?Digital Engagement 2011 Mellish; Wallace; Tait; Hunter; MacLeod 2011,Can Digital Technologies Increase Engagement with Community History,1,anystyle,W2785243169,offline_title_fuzzy,0.947252747252747
8488_a7,8488,NA,La versione franco-italiana della “Bataille d’Aliscans”: Codex marcianus fr 1985,"La versione franco-italiana della ""Bataille d'Aliscans""",1,anystyle,W629698293,offline_title_fuzzy,0.947222222222222
26_a1,26,NA,Philosophy and Electronic Publishing. Theory and Metatheory in the Development of Text Encoding 1997,Philosophy and Electronic Publishing : The Theory and Metatheory in the Development of Text Encoding,,anystyle,W7005063746,offline_title_fuzzy,0.947155883630048
7748_a3,7748,NA,Philosophy and Electronic Publishing: Theory and Metatheory in the Development of Text Encoding 1997,Philosophy and Electronic Publishing : The Theory and Metatheory in the Development of Text Encoding,,anystyle,W7005063746,offline_title_fuzzy,0.947155883630048
897_a6,897,NA,Text Encoding Initiative Consortium Driscoll 15 August,Text Encoding Initiative (TEI),,anystyle,W4248475796,offline_title_fuzzy,0.947142857142857
3771_a3,3771,10.13125/2039-6597/1392. 10.13125/2039-6597/1392.,Digital Literary and Cultural Studies: State of the Art and Perspectives Ciotti 2014,Digital literary and cultural studies: the state of the art and perspectives,,anystyle,W1544005581,offline_title_fuzzy,0.947079812206573
556_a2,556,NA,Experiential Telepresence (ETP) 2003,Experiential telepresence,,anystyle,W2062982001,offline_title_fuzzy,0.947058823529412
789_a2,789,NA,Viewable with Any Browser Campaign Burstein,Viewable with any browser,,anystyle,W6936783961,offline_title_fuzzy,0.947058823529412
1165_a14,1165,NA,La metrica di Plauto e di,La metrica di Plauto e di Terenzio,,anystyle,W596528390,offline_title_fuzzy,0.947058823529412
2019_a20,2019,NA,"support verb constructions“ (vgl. u.a 2004, Krenn & Erbach 1994, Storrer 2007/2013",support_verb_construction,,anystyle,W6963509666,offline_title_fuzzy,0.947058823529412
2144_a52,2144,NA,The MediaMill TRECVID 2004-2010 semantic video search engine Snoek 2004,The MediaMill TRECVID 2004 Semantic Viedo Search Engine.,,anystyle,W3029031822,offline_title_fuzzy,0.946969696969697
1004_a39,1004,NA,Joseph Smith: The Making of a Prophet Vogel 2004,Joseph Smith: The Making of a Prophet. by Dan Vogel,,anystyle,W2563500175,offline_title_fuzzy,0.946938775510204
1065_a17,1065,NA,"Interactive Drama, Art, and Artificial Mateas 2002","Interactive drama, art and artificial intelligence",,anystyle,W83483150,offline_title_fuzzy,0.946938775510204
992_a10,992,NA,Recent Advances in Techniques for Hyperspectral Plaza,Recent Advances in Techniques for Hyperspectral Image Processing,,anystyle,W7099945631,offline_title_fuzzy,0.946875
965_a7,965,NA,The Making of Americans: Being a Stein 1995,The Making of Americansにおける「グリッド」--ガ-トル-ド・スタインの文体と抽象(2),,anystyle,W1521852997,offline_title_fuzzy,0.94683870967742
4113_a5,4113,NA,"Hubbub: Filth, Noise and Stench in England 1600 - 1700, New Haven [Conn Cockayne 2007","Hubbub: filth, noise, and stench in England, 1600-1770",,anystyle,W1526822160,offline_title_fuzzy,0.946769230769231
2074_a14,2074,NA,"The rarer they are, the more they are, the less they matter Hoover 2012","The Rarer They Are, the More There Are, the Less They Matter.",,anystyle,W2887534290,offline_title_fuzzy,0.946737533488895
3859_a29,3859,NA,"Visualize this: the flowing data guide to design, visualization and statistics Yau 2011","Visualize This: The FlowingData Guide to Design, Visualization, and Statistics",,anystyle,W2160570181,offline_title_fuzzy,0.946701754385965
30_a3,30,NA,Zur Anwendung der TEI-Richtlinien auf die Retrodigitalisierung mittelhochdeutscher Woerterbuecher Burch; Fournier,Zur Anwendung der TEI-Richtlinien bei der Retrodigitalisierung mittelhochdeutscher Wörterbücher,,anystyle,W2488798733,offline_title_fuzzy,0.946681835950035
489_a9,489,NA,Literary and Linguistic Computing (Forthcoming,Literary and Linguistic Computing,,anystyle,W6974234441,offline_title_fuzzy,0.946666666666667
1856_a1,1856,NA,Introduction to Probabilistic Topic Models.www.cs.princeton.edu/~blei/papers/Blei2011.pdf Blei 2011,Introduction to probabilistic topic models,,anystyle,W7101091910,offline_title_fuzzy,0.946543527394591
3784_a15,3784,NA,Father Busa's Female Punched-Card Operators Terras; Nyhan 2016,Father Busa’s Female Punch Card Operatives,,anystyle,W2806297144,offline_title_fuzzy,0.946522702104098
1056_a1,1056,NA,"Dublin Core Metadata Initiative, Dublin Core Metadata",Dublin Core Metadata Initiative Abstract Model,,anystyle,W7037255399,offline_title_fuzzy,0.946506874767744
974_a10,974,NA,A Unified Theory of the Web,A Unified Theory of the Nucleus,,anystyle,W2060200683,offline_title_fuzzy,0.94647550776583
984_a8,984,NA,Analysis of Narrative Style,Analysis of Narrative Structure,,anystyle,W2502954452,offline_title_fuzzy,0.94647550776583
3766_a11,3766,NA,Report on the status of B.C 2010 2010,Report on the Status of <i>ToP</i>,,anystyle,W221356519,offline_title_fuzzy,0.94647550776583
3841_a12,3841,NA,"Photogrammetric Reconstruction and 3D Visualization of Bet Gorgis, a Rock-hewn Church in Ethiopia 2001 2001",Photogrammetric Reconstruction and 3D Visualization of Bet Giorgis Church in Ethiopia.,,anystyle,W3014015382,offline_title_fuzzy,0.946456582633053
3771_a6,3771,NA,L'invenzione della letteratura. Fra modernismo e avanguardia Guglielmi 2001,L'invenzione della letteratura modernismo e avanguardia,,anystyle,W603178680,offline_title_fuzzy,0.946440677966102
529_a3,529,NA,"Diccionario General de la Lengua Española Vox, Edición en",Diccionario General de la Lengua Española,,anystyle,W6990410328,offline_title_fuzzy,0.946428571428571
723_a7,723,NA,An XML Document Corresponds to which FRBR,An XML document corresponds to which FRBR Group 1 entity,,anystyle,W1553112538,offline_title_fuzzy,0.946428571428571
779_a35,779,NA,An XML Document Corresponds to which FRBR,An XML document corresponds to which FRBR Group 1 entity,,anystyle,W1553112538,offline_title_fuzzy,0.946428571428571
3851_a20,3851,NA,Der Zusammenbruch der Quantitat im Spatmittelalter und sein Einfluß auf die Metrik Vennemann 1995,DER ZUSAMMENBRUCH DER QUANTITÄTIM SPÄTMITTELALTER UND SEIN EINFLUSS AUF DIE METRIK,,anystyle,W2405752084,offline_title_fuzzy,0.946370849250661
613_a1,613,NA,A Notional Theory of Syntactic Anderson 1997,A Notional Theory of Syntactic Categories,,anystyle,W4210681794,offline_title_fuzzy,0.946341463414634
768_a15,768,NA,A Wheel of Memory: The Hereford,A wheel of memory: the Hereford Mappamundi,,anystyle,W428095594,offline_title_fuzzy,0.946341463414634
899_a7,899,NA,Keynote Address: Technology and Kenny 2003,Keynote Address: Technology and Innovation,,anystyle,W2588719042,offline_title_fuzzy,0.946341463414634
1559_a8,1559,NA,Imagery and Emotional Response Goertz 1993,Imagery and Emotional Response in Reading.,,anystyle,W2733544830,offline_title_fuzzy,0.946341463414634
8369_a3,8369,NA,On the Complexity of Discourse Biber 1992,On the Complexity of Discourse Complexity *,,anystyle,W4200344230,offline_title_fuzzy,0.946341463414634
4166_a3,4166,NA,The China Biographical Database User's Fuller 2015,The China Biographical Database (2017),,anystyle,W6944197564,offline_title_fuzzy,0.946198830409357
2036_a8,2036,NA,Le Vocabulaire des tragédies de Racine. Analyse statistique Bernet 1983,Le vocabulaire des tragédies de Jean Racine analyse statistique,,anystyle,W7030060698,offline_title_fuzzy,0.946195949644226
536_a9,536,NA,Computer-Assisted Reading; Reconceiving Sinclair,Computer-Assisted Reading: Reconceiving Text Analysis,,anystyle,W2067776268,offline_title_fuzzy,0.946153846153846
3783_a18,3783,NA,Cognitive Metaphor and the “Arab spring Möller 2014,Cognitive metaphor and the “Arab Spring”: Nicole Möller,,anystyle,W2488815803,offline_title_fuzzy,0.946153846153846
3805_a3,3805,NA,Generating an Ordered Data Set from an Crump 2014,Generating an Ordered Data Set from an OCR Text File,,anystyle,W1549562869,offline_title_fuzzy,0.946153846153846
3852_a6,3852,NA,WordNet: An electronic lexical database: Bradford book Fellbaum 1998,WordNet an electronic lexical database,,anystyle,W7016219665,offline_title_fuzzy,0.946153846153846
4022_a1,4022,NA,Paratext or Imagetext? Interpreting the Bushell 2016,Paratext or imagetext? Interpreting the fictional map,,anystyle,W2306257660,offline_title_fuzzy,0.946153846153846
533_a3,533,NA,Computer-mediated Discourse: Reception Schreibman,Computer‐Mediated Discourse,,anystyle,W1544590172,offline_title_fuzzy,0.945945945945946
1941_a12,1941,NA,People of Medieval Scotland 2013,People of Medieval Scotland:1093-1314,,anystyle,W7135823559,offline_title_fuzzy,0.945945945945946
4005_a6,4005,NA,Without a Minority/Identity Matte 2015,Without a Minority/Identity Framework,,anystyle,W2223555527,offline_title_fuzzy,0.945945945945946
1025_a3,1025,NA,"Streams, Structures, Spaces, Scenarios A 2004","Streams, structures, spaces, scenarios, societies (5s)",,anystyle,W2004276548,offline_title_fuzzy,0.945833333333333
1510_a1,1510,NA,The Programming Historian 1st Edition Turkel; MacEachern 2007,The Programming Historian - Print Edition,,anystyle,W2336469181,offline_title_fuzzy,0.945819225819226
29_a5,29,NA,Lexicographic Research on Australian Languages 1968 - 1993 Goddard; Thieberger 1997,Lexicographic research on Australian Aboriginal languages 1968-1993,,anystyle,W1761800042,offline_title_fuzzy,0.945735607675906
4119_a10,4119,NA,Persuade Into What? Why HumanComputer Interaction Needs a Philosophy of Technology Fallman 2007,Persuade Into What? Why Human-Computer Interaction Needs a Philosophy of Technology,,anystyle,W1511711798,offline_title_fuzzy,0.945709123757904
1515_a2,1515,NA,Human Language Technologies (HLT). Module 3.5 P.; Schultze 2010,Human Language Technologies (HLT) Group,,anystyle,W7097321506,offline_title_fuzzy,0.945688545688546
1067_a4,1067,NA,Word frequency and key word statistics in historical corpus linguistics Baron; Rayson; Archer 2009,Word frequency and key word statistics in corpus linguistics,,anystyle,W1824916146,offline_title_fuzzy,0.945680751173709
4181_a12,4181,NA,The perils and possibilities of dance in Bishop 2014,The perils (and possibilities) of paradigm change.,,anystyle,W4247166930,offline_title_fuzzy,0.945572831423895
626_a7,626,NA,Authorship Attribution in a Bailey 1979,Authorship attribution in the wild,,anystyle,W1964642694,offline_title_fuzzy,0.945533769063181
706_a3,706,NA,Research Skills and the New Quarton,RESEARCH SKILLS AND THE REAL WORLD,,anystyle,W6904000475,offline_title_fuzzy,0.945533769063181
1765_a10,1765,NA,Reading behavior in the digital environment: changes in reading behavior over the past 10 years Liu 2005,Reading behavior in the digital environment : changes in reading in past 10 years,,anystyle,W7080025953,offline_title_fuzzy,0.945477083290172
317_a5,317,NA,The Pragmatic Programmer Hunt; Thomas 1999,the pragmatic programmer book pdf,,anystyle,W6930446255,offline_title_fuzzy,0.945454545454546
484_a1,484,NA,The Scriptores Historiae Gurney; Gurney,The Scriptores historiae Augustae /,,anystyle,W6996269090,offline_title_fuzzy,0.945454545454546
646_a2,646,NA,The Heritage of Giotto’s Edgerton 1991,The Heritage of Giotto's Geometry,,anystyle,W4249337848,offline_title_fuzzy,0.945454545454546
795_a15,795,NA,Doing Grounded Theory: Issues and Glaser,Doing grounded theory : issues and discussions,,anystyle,W1533574204,offline_title_fuzzy,0.945454545454546
842_a27,842,NA,The Visual Knowledge Builder: A Second Generation,The Visual Knowledge Builder: A Second Generation Spatial Hypertext,,anystyle,W7100795646,offline_title_fuzzy,0.945454545454546
865_a14,865,NA,Spoken Like a Woman: Speech and Gender in McClure 1999,Spoken Like a Woman: Speech and Gender in Athenian Drama,,anystyle,W7073902757,offline_title_fuzzy,0.945454545454546
905_a22,905,NA,"Immersion, Engagement, and McMahan 2003","Immersion, Engagement, and Presence",,anystyle,W7128589049,offline_title_fuzzy,0.945454545454546
1055_a10,1055,NA,Exploring the Biography and Artworks of Picasso with Interactive Meneses; Furuta; Mallen 2008,Exploring the biography and artworks of Picasso with interactive calendars and timelines,,anystyle,W2239212900,offline_title_fuzzy,0.945454545454546
4022_a14,4022,NA,Literary Geography: Reforging the Saunders 2010,Literary geography: reforging the connections,,anystyle,W2057268284,offline_title_fuzzy,0.945454545454546
4053_a10,4053,NA,Losing My Revolution: How Many Resources Shared on Social Salaheldeen; Nelson 2012,Losing My Revolution: How Many Resources Shared on Social Media Have Been Lost?,,anystyle,W2951554315,offline_title_fuzzy,0.945454545454546
