citing_country,AT,AU,BR,CA,CH,CN,DE,ES,FI,FR,GB,IL,IT,NG,NO,PT,RU,SE,US,AE,AF,AR,BD,BE,BH,CL,CO,CZ,DK,EG,GR,HK,HU,ID,IE,IN,IS,JO,JP,KR,LB,LU,MO,MT,MX,MY,NL,NZ,PH,PK,PL,PS,QA,RO,SA,SG,TJ,TN,TW,ZA,CR,EC,EE,KE,RS,SD,TR,AM,BA,BG,BN,BO,BY,CU,CY,DZ,GH,HR,IR,LI,LT,LV,MA,MC,ML,MN,MU,OM,PE,SI,SK,UA,VE,VN,KH,KW,LK,PF,TH,UY,UZ,ZW,AZ,GE,BI,MK,MM,NP,AO,IQ,SS,SO,GP,GY,KZ,MD,ME,PR,SY,TZ,DO,FJ,GU,CM,AL,BJ,CW,ET,FK,GT,KY,MZ,NA,PG,RW,TT,VA,XK,YE,GL,BS,BW,KG,MQ,UG,CG,SL,PA,SM,VI,JM,MF,MV,RE,SN,TG,BB,GM,LR,MR,ZM,JE,MS,VU,VG,KP,SV,HN,BM,LY,MW,CD,GA,LS,NI
BH,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BI,0,0,0,0,1,0,2,0,1,4,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BN,1,6,2,3,0,3,4,1,1,1,16,0,6,0,1,2,0,0,17,1,0,0,0,0,0,0,0,0,1,0,3,1,0,5,0,0,0,1,0,3,0,0,0,0,0,3,2,2,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BO,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,5,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BR,14,29,187,28,14,28,44,61,11,41,97,7,56,0,7,31,8,18,218,1,0,4,0,19,0,1,0,6,12,0,19,2,10,3,21,4,0,2,6,8,0,2,0,1,5,5,33,4,0,3,6,0,2,1,2,3,0,0,9,3,1,2,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,1,2,0,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BZ,0,0,0,0,0,0,0,3,0,0,2,0,3,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA,25,164,38,725,53,76,198,105,52,177,694,39,94,3,23,19,28,49,1833,2,0,4,3,57,0,9,5,13,49,2,36,18,6,6,34,37,1,6,44,24,4,8,4,0,15,5,118,31,0,7,18,0,0,0,6,23,0,2,19,16,0,0,12,6,1,0,7,0,2,5,0,0,1,0,4,1,2,2,13,0,1,3,1,0,1,0,0,4,2,3,4,1,2,0,2,1,0,0,3,0,1,0,0,0,0,1,0,0,0,9,4,0,1,1,1,1,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH,58,108,20,150,359,107,364,114,70,218,479,62,189,2,11,16,17,60,1114,9,0,3,3,70,0,2,1,40,26,0,82,17,8,5,44,30,1,1,37,18,0,5,2,0,22,12,143,22,3,9,26,1,3,6,5,25,0,5,8,6,0,0,5,0,4,0,16,1,2,4,1,0,0,1,15,2,2,9,5,0,4,1,1,0,1,0,0,0,0,9,14,0,0,3,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL,3,4,10,11,9,16,22,7,0,14,33,12,6,0,3,4,2,2,65,1,0,2,0,3,0,33,0,0,0,0,4,5,1,0,2,2,0,1,2,6,0,0,0,0,3,0,4,0,0,0,4,1,0,0,2,5,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CM,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,1,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CN,101,331,62,369,153,2098,510,267,102,252,1104,87,415,12,65,79,66,92,2404,14,0,11,12,105,2,17,12,50,84,22,135,245,27,40,85,147,4,9,146,146,6,9,33,11,28,82,271,65,6,38,61,1,10,27,37,104,2,4,163,52,0,8,12,2,11,1,60,0,6,8,3,1,2,1,20,6,2,31,183,2,5,4,10,0,0,0,0,5,6,40,10,24,0,18,3,2,0,0,27,1,1,0,1,3,1,6,0,2,0,9,2,0,0,0,2,0,1,2,0,4,0,2,1,1,1,1,1,1,1,1,3,1,2,1,1,1,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CO,11,5,3,9,5,8,24,15,2,5,22,0,8,0,3,0,3,3,49,0,0,1,0,1,0,0,2,2,5,0,2,1,1,3,2,1,0,0,5,0,0,0,0,0,2,3,7,0,1,0,1,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CU,0,1,0,1,0,0,0,1,0,0,5,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY,7,14,4,27,16,25,48,17,7,40,91,14,42,0,5,7,2,10,149,0,0,1,0,15,1,1,1,5,9,2,45,10,0,0,6,4,3,1,12,6,0,0,0,0,1,0,17,0,0,0,1,0,1,2,0,1,0,0,5,5,0,0,2,0,0,0,2,0,0,0,2,0,0,0,39,0,0,1,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CZ,15,18,9,10,15,27,41,21,6,14,72,11,12,0,1,5,5,14,123,0,0,2,2,3,0,2,0,43,5,2,3,1,1,0,4,5,0,2,8,2,0,1,0,1,2,0,16,4,0,1,5,0,0,2,4,0,0,0,1,2,0,0,1,0,1,0,3,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,3,3,6,0,0,0,1,0,0,2,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE,289,330,106,476,351,348,2338,317,154,529,1505,147,490,2,100,63,78,218,3476,29,0,9,4,250,1,36,10,73,151,15,121,70,45,13,120,60,13,18,144,80,4,32,3,4,45,21,600,56,4,12,110,0,9,28,21,65,1,2,29,50,2,1,12,2,5,1,34,0,2,12,2,4,1,1,17,0,4,18,11,2,3,5,3,0,3,4,1,1,2,30,14,6,5,3,0,0,6,1,4,0,0,1,0,0,1,5,2,1,0,5,3,0,0,0,0,1,1,2,0,3,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DK,42,57,10,82,43,41,225,43,14,64,247,19,64,1,25,6,7,50,466,9,0,4,1,28,0,4,2,6,125,2,21,8,6,2,19,9,3,0,17,3,0,1,0,0,6,1,90,11,0,0,3,0,1,4,2,7,0,0,4,5,2,1,2,0,3,0,0,0,2,0,0,2,0,0,4,0,0,2,4,1,1,1,1,0,0,0,1,0,0,12,3,2,0,1,0,0,1,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DZ,0,6,0,5,1,16,2,9,0,12,12,1,15,0,1,2,0,0,37,3,0,0,0,3,0,0,1,0,0,1,4,2,0,0,2,6,0,0,3,0,0,0,0,0,0,4,3,0,0,0,2,0,4,2,1,2,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,15,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EC,14,6,2,8,3,15,12,17,2,5,23,3,6,0,2,2,1,0,52,0,0,1,0,1,0,0,1,0,1,1,4,2,1,0,1,2,0,0,1,1,0,0,0,0,2,0,4,3,0,0,2,0,0,0,0,1,0,1,1,2,0,4,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE,1,5,1,8,2,1,11,2,2,18,32,1,1,0,0,1,0,6,47,0,0,0,0,3,0,0,0,0,3,0,2,1,2,0,1,2,0,0,2,3,0,2,0,0,1,1,15,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EG,2,6,3,18,3,2,11,7,4,3,40,2,10,0,5,3,0,5,76,1,0,0,0,9,0,0,1,0,7,5,4,4,0,1,1,0,0,0,3,7,0,0,0,1,2,3,15,2,0,1,1,0,2,1,1,1,0,0,3,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES,94,184,59,210,103,94,352,804,53,257,732,55,329,3,43,75,32,57,1281,4,0,28,3,83,0,23,10,28,43,9,96,33,17,4,65,45,1,1,30,29,2,5,3,3,36,9,226,23,0,8,34,0,12,6,13,21,1,4,27,25,2,6,3,1,4,0,28,1,1,8,2,0,0,2,11,4,2,11,15,0,4,1,1,0,0,4,0,1,4,10,3,4,1,1,0,1,4,1,5,2,1,1,0,1,3,0,2,0,0,1,5,2,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI,22,66,17,75,63,38,232,52,529,96,375,21,73,0,31,6,13,69,642,4,0,0,3,36,2,2,2,15,44,4,19,8,13,1,23,8,3,0,24,10,1,4,0,0,8,14,158,7,0,4,16,0,1,2,0,11,0,0,7,4,0,2,4,0,3,0,2,0,0,1,0,0,0,0,6,1,2,10,4,0,2,3,1,0,0,3,0,0,0,11,1,1,0,1,0,0,0,0,2,0,0,2,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR,84,123,35,215,150,139,403,160,57,839,572,68,273,1,32,30,29,84,1342,14,0,7,2,115,3,8,6,38,36,4,87,26,11,4,52,24,6,3,61,43,5,15,2,2,12,12,197,21,4,6,21,1,6,8,14,27,0,13,27,13,0,0,7,1,0,0,15,1,2,6,2,0,2,2,7,8,0,3,13,0,7,1,3,0,3,0,0,0,1,11,3,5,3,3,1,0,0,0,4,0,0,0,1,0,3,0,0,1,0,10,3,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GB,140,493,85,676,223,352,846,339,209,458,3380,157,492,5,133,91,71,209,4064,21,0,11,9,207,1,32,13,51,167,12,209,86,28,17,197,97,11,18,106,72,1,30,9,9,49,42,591,105,3,35,79,0,10,22,25,86,0,4,45,52,1,4,16,2,6,0,42,1,14,19,0,4,1,1,21,6,7,41,16,1,9,6,3,0,2,4,0,2,5,22,13,17,0,4,2,1,4,1,25,0,1,0,0,0,4,2,0,0,0,3,5,0,0,0,0,1,0,5,0,6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,2,0,2,4,1,1,1,0,0,1,0,0,1,2,0,2,0,1,0,0,0,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
