citing_country,AE,AF,AR,AT,AU,BD,BE,BG,BH,BI,BO,BR,CA,CH,CL,CN,CO,CY,CZ,DE,DK,DZ,EC,EE,EG,ES,FI,FR,GB,GR,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JO,JP,KE,KR,KZ,LB,LU,LV,MA,MM,MO,MT,MX,MY,NA,NE,NG,NL,NO,NZ,PH,PK,PL,PS,PT,PY,QA,RO,RU,SA,SE,SG,SI,SK,SV,TJ,TN,TR,TW,UA,UG,US,UZ,ZA,ZM,AM,CR,CU,GH,PE,TT,UY,BA,BY,ET,GM,GN,LT,MC,MG,ML,MN,MW,NC,NP,OM,PG,RS,SL,SS,TH,VN,AG,BW,CM,DO,KG,KH,KW,LC,LK,MK,MU,RW,SN,SY,TZ,YE,ZW,AZ,GE,JM,LS,BN,HN,LI,PR,VE,AL,BJ,MV,PA,RE,SO,BB,BM,FJ,GP,MD,ME,VA,GU,FK,KY,MZ,SZ,XK,BS,NI,BF,GT,CG,CI,SM,TD,VI,PF,TG,GA,GF,GL,MR,MS,VG,SD,LY,KP,GI,MQ,CD,KN,ST,BT,DM
BG,1,0,1,3,16,1,5,21,0,0,0,4,10,15,6,24,0,2,21,38,7,0,0,3,0,15,12,17,57,10,2,1,5,1,5,5,3,0,30,4,30,0,9,0,3,0,0,1,2,0,0,1,1,2,0,0,0,2,22,4,2,0,0,8,0,8,0,1,0,2,3,9,2,9,0,0,0,0,2,3,0,0,129,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,1,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BH,9,0,0,0,4,0,0,0,1,1,0,0,0,0,0,2,1,0,1,0,0,1,0,0,0,3,1,4,6,0,0,0,0,2,0,1,2,1,0,0,3,0,2,0,0,0,1,0,0,2,0,0,0,1,3,0,0,0,2,1,0,0,0,0,2,1,0,3,0,0,2,1,0,0,0,0,0,1,2,0,0,0,40,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BI,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BN,0,0,0,0,1,0,0,1,0,0,0,1,4,0,0,1,0,1,2,4,0,0,0,0,0,0,0,2,7,1,1,0,0,10,1,1,0,0,0,0,4,1,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,5,0,2,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BO,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BR,8,0,18,36,115,2,56,4,0,0,0,315,149,62,4,148,3,5,38,216,30,1,2,5,5,144,24,162,435,20,29,2,11,3,40,36,65,1,8,3,148,6,54,2,31,0,0,3,0,0,0,0,8,12,11,0,0,2,126,36,14,1,17,19,0,48,0,9,4,21,6,58,36,6,9,0,0,1,20,26,2,1,1205,0,10,0,0,1,1,3,2,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,4,0,3,4,6,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BZ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA,21,1,12,74,335,10,113,9,0,2,1,68,1218,141,9,286,8,11,47,574,87,2,2,15,8,253,111,369,1478,74,73,9,20,7,89,142,112,9,37,2,298,7,135,6,60,1,7,11,1,3,1,4,2,31,19,0,1,9,363,61,82,5,16,31,0,40,0,28,13,55,13,122,86,15,6,0,0,6,22,47,4,2,4175,1,37,1,0,1,1,8,2,2,1,4,1,0,0,0,5,0,0,1,0,1,0,2,5,0,9,1,9,16,5,0,0,6,0,0,0,2,0,5,5,0,0,2,0,3,0,2,0,0,0,0,1,0,1,4,2,0,0,0,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH,15,0,6,97,201,2,108,6,0,1,0,45,245,568,3,195,0,15,73,575,54,2,0,7,0,193,81,305,892,92,48,7,9,14,65,114,50,0,9,4,305,1,73,0,40,0,0,5,2,1,1,5,3,33,23,1,0,2,307,39,54,6,11,33,2,36,0,9,15,38,7,146,37,13,20,0,0,2,21,21,0,0,2247,0,16,1,0,1,1,2,0,0,1,2,0,0,0,0,0,0,0,1,2,0,1,1,0,0,5,0,7,2,4,0,0,0,1,0,0,1,0,0,0,1,0,0,1,2,0,0,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL,0,0,3,2,19,0,11,0,0,0,0,5,21,12,40,11,0,1,0,31,2,0,0,2,0,18,4,18,101,6,7,0,1,0,8,8,2,0,2,0,23,0,8,0,10,0,0,1,2,0,0,0,0,2,0,0,0,1,34,8,2,0,2,1,0,7,0,1,0,4,2,9,3,1,0,0,0,0,0,3,0,1,226,0,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CN,30,2,16,144,452,15,149,15,4,1,0,62,553,239,26,2634,13,20,133,938,104,8,7,24,28,376,141,368,1643,138,367,15,33,47,108,158,195,12,203,1,512,16,302,3,177,1,13,11,3,14,2,34,13,36,97,1,0,12,427,111,91,9,34,79,1,83,0,22,45,87,29,190,191,40,35,0,4,5,75,199,28,2,4478,1,62,2,0,0,0,11,7,2,1,7,2,1,0,0,3,0,0,0,2,1,0,4,10,2,12,0,8,33,26,0,2,1,0,0,5,4,0,1,7,3,1,0,0,0,4,0,1,3,2,0,2,0,2,4,3,0,0,0,0,0,0,0,0,2,0,0,2,0,3,1,5,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CO,0,0,4,7,6,0,8,1,0,0,1,3,11,12,10,6,55,0,5,36,4,0,1,1,0,27,2,17,55,2,2,0,1,1,1,3,8,0,1,0,21,0,10,0,4,0,0,1,0,0,1,0,0,6,4,0,0,0,19,4,1,0,1,3,0,1,0,0,1,6,1,9,2,1,0,0,0,1,2,1,0,0,137,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CU,0,0,4,3,23,0,0,0,0,0,1,9,6,3,7,10,2,0,4,11,6,0,1,0,2,10,3,9,48,5,0,0,1,4,2,0,2,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,11,4,0,0,0,8,1,1,0,3,4,0,0,0,0,0,2,1,0,0,0,1,0,0,1,0,0,0,0,61,0,2,0,0,0,8,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY,2,0,1,7,25,0,14,0,1,0,0,7,29,16,1,39,0,57,6,41,12,0,0,1,2,30,5,35,121,43,12,1,0,1,6,25,5,1,0,0,54,1,14,0,4,0,1,0,0,4,0,0,0,0,7,0,0,0,28,4,4,0,4,2,0,9,0,1,4,4,3,14,1,1,0,0,0,0,9,10,0,0,191,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CZ,1,0,21,26,60,1,24,6,0,0,2,21,87,57,7,103,2,5,232,203,22,2,0,6,3,79,16,86,338,21,9,4,12,2,23,33,43,5,9,3,92,2,27,1,12,0,2,4,1,1,0,2,2,8,1,0,0,1,101,16,12,1,5,27,0,7,0,8,8,21,4,56,16,15,19,0,1,3,9,8,3,0,797,0,5,0,0,0,1,1,3,1,0,1,0,0,0,0,2,1,0,1,1,0,0,1,4,0,8,0,2,4,4,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE,53,0,16,386,661,5,424,23,2,1,3,182,1106,697,43,703,20,24,246,4185,285,3,11,34,28,678,241,893,3489,195,150,30,68,19,253,385,213,6,46,20,980,15,409,5,146,1,8,38,7,16,2,8,9,83,51,6,0,6,1285,187,135,5,37,130,1,116,1,49,44,126,22,464,180,64,22,1,2,7,100,91,9,7,9290,1,69,1,1,6,3,8,7,1,3,3,1,2,0,0,13,0,0,2,3,0,0,2,5,0,16,0,23,27,17,0,0,0,1,1,1,1,0,8,9,0,0,0,1,4,2,0,0,0,0,0,3,2,2,1,3,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DK,19,0,5,43,133,3,55,3,0,0,2,22,154,83,9,87,2,5,31,323,340,3,2,3,1,65,45,120,539,33,20,2,12,3,47,28,45,0,9,9,145,5,51,1,28,0,2,6,3,5,1,1,2,10,7,11,0,2,185,42,22,5,4,19,0,14,0,4,4,16,14,122,21,18,2,0,1,0,5,11,3,1,1126,1,24,0,0,2,1,2,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,2,0,4,0,1,0,1,0,0,0,0,0,0,3,0,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DZ,6,0,0,3,12,0,6,0,0,0,0,2,11,1,0,27,1,2,1,25,1,24,0,0,4,22,1,27,33,10,4,1,0,0,4,5,8,1,1,0,32,0,5,0,1,0,2,0,0,3,0,0,0,2,4,0,0,0,6,1,1,0,0,4,0,5,0,7,5,0,2,0,5,0,0,0,0,1,5,0,0,0,96,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EC,0,0,1,3,3,0,9,0,0,0,0,1,11,5,0,3,0,0,0,10,1,0,17,0,1,15,2,9,33,2,3,0,0,0,5,3,1,0,0,0,11,0,1,0,1,0,0,1,0,0,0,0,0,7,0,0,0,1,6,2,2,0,1,1,0,0,0,0,0,4,0,3,1,0,1,0,0,1,1,0,0,0,81,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE,0,0,1,3,14,1,15,2,0,0,0,3,20,14,1,9,0,1,15,45,15,0,1,21,1,8,27,24,76,2,4,1,7,0,6,12,6,0,0,1,25,0,7,0,1,1,0,3,1,0,0,0,0,3,1,0,0,0,42,4,3,0,2,7,0,2,0,1,0,6,0,31,2,5,0,0,0,0,3,2,0,0,170,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EG,4,0,0,6,19,1,11,0,0,0,0,3,28,7,1,10,1,1,1,22,11,1,0,1,13,13,10,10,64,8,7,2,1,2,3,3,4,0,2,0,19,1,4,0,12,0,2,0,1,4,0,1,1,2,3,0,0,4,26,11,4,0,6,3,1,4,0,4,1,1,4,9,6,1,0,0,0,0,3,2,0,0,141,0,3,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES,14,0,54,138,403,6,177,19,1,4,4,89,519,249,47,272,43,27,147,964,111,6,23,12,32,2239,98,532,1763,181,61,15,41,15,136,188,114,3,24,4,987,21,165,1,62,1,4,14,4,12,4,7,5,85,35,0,0,2,486,98,71,4,16,82,0,129,0,21,34,81,25,242,96,34,7,0,1,13,85,49,7,2,4128,1,48,0,0,4,13,4,14,2,4,4,0,0,0,0,14,0,0,0,7,2,0,0,2,0,14,0,10,20,7,0,0,0,1,0,3,0,0,14,3,1,0,1,2,1,0,1,1,1,0,0,2,1,1,2,4,0,0,0,1,1,2,0,0,0,0,3,0,0,1,0,2,0,0,1,0,0,1,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ET,0,0,0,0,2,0,0,0,0,0,0,0,1,3,0,0,0,0,3,5,1,2,0,0,0,1,4,2,15,0,0,0,0,1,0,2,7,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,3,0,0,27,0,2,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
