citing_country,AE,AF,AR,AT,AU,BD,BE,BH,BR,CA,CH,CL,CN,CO,CZ,DE,DK,EG,ES,FI,FR,GB,GR,HK,HU,ID,IE,IL,IN,IS,IT,JO,JP,KR,LB,LU,MO,MT,MX,MY,NL,NO,NZ,PH,PK,PL,PS,PT,QA,RO,RU,SA,SE,SG,TJ,TN,TW,US,ZA,CR,EE,KE,BA,BY,CU,CY,DZ,EC,GH,HR,IR,LT,LV,MA,MC,ML,MN,PE,SI,SK,TR,UA,BG,KH,KW,LK,OM,RS,UY,UZ,VN,ZW,AZ,BN,MK,NP,NG,TH,BO,VE,SS,SO,GP,IQ,MD,ME,PR,TZ,BI,DO,GU,SY,CM,ET,FJ,FK,GE,KY,KZ,LI,MZ,NA,PG,RW,TT,XK,YE,MU,BS,AL,AM,KG,MM,UG,CG,SL,SM,VI,PF,TG,GT,JM,MR,PA,ZM,VA,MS,LY,VG,KP,PY,MQ,SD,SN,RE,BW,BM,BB,GA
BO,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BR,1,0,1,8,16,0,15,0,68,18,9,0,17,0,3,26,7,0,44,6,32,64,6,1,8,0,16,4,4,0,46,1,5,6,0,1,0,1,0,1,22,6,0,0,3,3,0,16,1,1,4,1,11,3,0,0,7,147,2,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BZ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA,2,0,3,17,102,2,43,0,22,453,39,5,47,3,3,138,32,2,91,43,131,479,22,15,5,3,19,31,23,1,75,5,30,11,3,8,4,1,12,2,87,15,17,0,7,12,0,6,0,0,20,6,29,16,0,1,16,1145,9,0,8,4,2,1,0,3,1,0,1,1,12,0,0,1,0,0,0,0,3,3,4,0,3,0,0,0,4,0,0,0,0,0,0,0,1,0,1,3,0,1,3,0,1,9,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH,5,0,2,45,88,0,59,0,18,111,287,2,79,0,36,264,22,0,87,34,180,380,74,17,6,5,29,59,21,1,158,1,31,13,0,3,2,0,19,10,113,9,20,3,7,20,1,13,2,5,14,3,41,21,0,2,8,942,6,0,4,0,2,0,1,14,2,0,1,3,4,0,1,1,0,1,0,0,4,14,11,0,3,0,0,0,0,2,0,0,3,0,0,1,0,0,1,2,0,0,1,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL,0,0,0,2,1,0,3,0,4,7,8,5,7,0,0,4,0,0,4,0,8,21,3,4,0,0,2,5,0,0,3,0,2,4,0,0,0,0,0,0,4,2,0,0,0,0,0,4,0,0,0,0,1,2,0,0,3,36,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CN,10,0,9,77,247,8,85,1,40,280,133,12,1568,9,42,420,59,17,193,73,207,841,110,187,14,31,61,73,91,0,338,8,112,111,4,8,26,8,18,63,202,49,41,4,19,50,1,60,6,22,32,19,56,80,0,3,133,1870,35,0,10,0,6,1,0,14,5,5,2,8,168,2,1,7,0,0,0,4,29,6,50,16,7,3,2,0,5,5,1,0,16,0,0,2,6,1,4,13,0,0,1,0,0,9,0,1,2,0,1,0,1,0,1,1,1,1,2,1,1,2,1,1,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CO,0,0,1,3,1,0,0,0,1,3,3,1,2,2,2,3,0,0,6,1,3,9,0,0,0,1,0,0,0,0,7,0,2,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CU,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY,0,0,1,5,11,0,8,1,2,22,12,1,19,0,4,28,7,2,15,4,28,67,38,9,0,0,4,12,3,0,32,1,12,3,0,0,0,0,0,0,10,2,0,0,0,1,0,7,1,2,0,0,8,1,0,0,5,112,3,0,1,0,0,0,0,31,0,0,0,1,0,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CZ,0,0,2,10,14,0,3,0,8,9,15,1,20,0,36,46,4,1,22,4,10,60,6,0,0,1,7,8,1,0,15,0,4,2,0,1,0,1,2,1,15,1,4,0,0,7,0,1,0,3,4,1,7,0,0,0,1,96,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,3,3,2,0,1,1,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE,23,0,6,167,198,2,190,0,75,300,250,14,190,8,43,1309,79,10,216,91,342,1052,88,38,27,7,76,112,32,7,327,11,103,47,4,24,3,2,34,14,411,53,29,1,7,60,0,40,5,19,40,9,115,42,1,0,15,2381,18,2,8,1,2,1,1,10,0,1,0,11,4,1,2,4,0,2,1,1,19,9,19,2,3,0,0,4,1,3,0,0,1,0,0,2,4,0,0,4,2,1,3,0,0,3,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DK,8,0,4,18,31,0,20,0,9,45,26,3,24,0,5,129,69,1,33,6,35,174,18,2,3,1,14,11,7,3,44,0,13,0,0,1,0,0,4,1,59,13,7,0,0,3,0,3,0,3,4,1,31,5,0,0,3,306,4,2,0,0,2,0,0,2,0,1,0,2,1,0,0,1,0,0,0,0,9,1,0,2,0,0,0,0,0,3,0,1,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DZ,3,0,0,0,7,0,3,0,1,5,1,0,21,1,0,2,0,2,9,0,14,15,3,2,0,0,2,1,6,0,16,0,4,1,0,0,0,0,0,4,3,1,0,0,0,2,0,2,4,2,0,1,0,2,0,1,0,42,0,0,0,0,0,0,0,1,19,0,0,1,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EC,0,0,0,0,2,0,0,0,0,4,2,0,2,0,0,3,1,1,9,2,5,10,2,2,0,0,0,3,0,0,4,0,1,0,0,0,0,0,1,0,1,2,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,18,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE,0,0,0,0,2,0,3,0,1,6,2,0,1,0,0,8,2,0,1,1,15,26,0,1,2,0,1,1,2,0,1,0,0,1,0,2,0,0,1,0,12,0,2,0,0,0,0,1,0,0,0,0,5,1,0,0,0,40,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EG,1,0,0,2,6,0,9,0,2,17,3,0,2,1,0,11,7,5,7,3,3,37,4,4,0,1,1,2,0,0,10,0,3,7,0,0,0,1,2,3,15,5,2,0,1,1,0,3,2,1,0,1,4,1,0,0,2,69,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES,3,0,20,61,122,3,63,0,27,146,78,17,65,11,25,258,34,9,575,41,192,529,90,19,12,3,50,45,39,1,293,1,20,21,2,6,2,2,29,8,155,27,19,0,2,21,0,52,9,4,17,11,40,13,0,3,15,949,18,2,3,1,1,0,1,9,5,10,0,9,13,2,0,1,0,0,4,3,6,2,26,1,6,0,0,4,1,3,2,0,1,1,0,0,0,0,0,2,0,1,4,2,0,0,1,0,0,1,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI,4,0,0,20,41,1,25,2,12,55,28,0,24,1,13,166,24,3,32,338,73,258,17,5,13,1,18,16,2,3,50,0,18,8,1,4,0,0,7,0,111,20,6,0,3,11,0,4,1,1,8,1,37,7,0,0,5,483,4,0,2,0,0,0,0,3,1,2,1,2,2,1,2,1,0,0,2,0,6,1,2,1,1,0,0,0,0,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR,13,0,6,65,95,2,95,3,27,160,135,6,106,3,34,323,27,4,146,49,782,442,75,17,12,4,41,57,21,2,238,3,48,38,3,9,2,3,10,11,162,27,16,1,6,18,1,28,6,8,26,13,62,20,0,13,24,1016,7,0,6,1,2,2,2,5,12,0,0,2,14,5,1,4,0,3,1,1,7,2,10,4,4,1,0,0,0,1,0,0,3,0,1,2,0,1,0,4,0,1,3,0,0,10,0,1,0,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GB,17,0,8,102,326,1,154,1,64,456,169,16,224,12,30,592,119,11,251,137,330,2408,187,60,21,12,144,123,57,5,408,15,69,49,0,26,6,6,39,22,414,88,63,1,23,49,0,71,9,17,42,20,148,61,0,0,36,2894,33,1,11,1,14,1,1,17,4,3,4,15,8,8,2,3,0,2,3,4,10,7,27,18,14,2,1,3,2,5,0,0,4,0,1,0,1,0,1,22,3,0,3,0,0,0,1,0,4,2,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,4,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GH,0,0,0,0,0,0,0,0,1,0,0,1,2,1,0,4,1,3,3,0,0,6,0,0,0,2,0,0,4,0,2,1,0,3,0,0,0,0,0,2,2,3,1,3,3,0,0,0,0,0,0,2,2,0,0,0,1,13,2,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GR,3,0,1,32,68,0,45,0,25,73,43,4,67,1,13,142,24,12,95,27,100,341,367,15,2,0,19,73,26,0,213,1,24,26,1,3,0,1,7,9,77,13,12,1,1,12,0,35,1,6,4,11,26,10,0,2,20,570,10,0,1,0,2,0,1,23,0,0,0,1,10,0,1,1,0,0,0,1,4,1,16,0,4,0,0,2,0,1,2,0,2,0,0,0,0,0,3,4,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HK,1,0,0,12,33,0,12,0,6,37,14,0,201,2,10,49,6,4,29,13,22,142,7,84,3,4,5,18,8,0,32,1,16,9,0,1,4,1,3,6,16,6,6,0,3,8,0,2,0,2,1,2,9,5,0,0,29,231,8,0,1,0,8,1,0,4,0,1,3,1,3,0,0,0,0,0,0,0,1,1,11,6,1,1,0,0,0,3,0,0,2,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
HR,0,0,1,6,7,0,3,0,10,6,5,1,9,0,4,15,1,1,11,3,7,35,5,1,0,0,7,3,0,1,10,0,2,0,0,0,0,0,3,2,12,2,2,0,1,0,0,0,0,1,0,1,5,3,0,0,0,51,1,0,0,0,3,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU,2,0,1,1,4,0,5,0,2,8,4,2,0,2,0,12,8,1,9,6,1,28,1,0,10,0,7,1,0,0,10,0,3,4,0,0,0,0,1,0,11,1,1,0,0,5,0,2,1,0,2,0,4,0,0,0,0,81,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
