citing_country,AE,AF,AR,AT,AU,BD,BE,BH,BR,CA,CH,CL,CN,CO,CZ,DE,DK,EG,ES,FI,FR,GB,GR,HK,HU,ID,IE,IL,IN,IS,IT,JO,JP,KR,LB,LU,MO,MT,MX,MY,NL,NO,NZ,PH,PK,PL,PS,PT,QA,RO,RU,SA,SE,SG,TJ,TN,TW,US,ZA,CR,EE,BY,CY,DZ,EC,HR,LT,LV,MA,MC,ML,MN,PE,SI,SK,TR,UA,BA,GH,IR,KH,KW,LK,OM,RS,UY,UZ,VN,ZW,AZ,BG,BN,KE,MK,NP,NG,TH,BO,VE,SO,GP,IQ,MD,ME,PR,SS,TZ,BI,CU,DO,GU,SY,CM,ET,FJ,FK,GE,KY,KZ,LI,MZ,NA,PG,RW,TT,XK,YE,MU,BS,AM,KG,UG,CG,SL,MM,SM,VI,PF,TG,GT,JM,MR,PA,ZM,VA,MS,LY,VG,KP,PY,MQ,AL,SD,SN,RE,BW,BM,BB
BZ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA,1,0,3,17,80,1,32,0,15,328,33,3,40,3,3,108,19,1,83,35,104,352,16,12,4,3,16,24,19,1,62,3,27,7,3,7,4,1,11,2,68,11,8,0,3,8,0,3,0,0,15,4,22,16,0,1,12,844,5,0,7,1,3,1,0,1,0,0,1,0,0,0,0,3,1,4,0,2,1,11,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,1,3,0,1,0,1,9,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH,3,0,2,39,77,0,56,0,15,97,243,2,75,0,30,218,19,0,79,24,154,296,68,17,6,5,28,43,20,1,133,1,23,12,0,3,2,0,16,9,101,7,18,3,6,14,1,11,2,5,10,2,37,19,0,2,6,754,6,0,3,0,14,2,0,1,0,1,1,0,1,0,0,4,13,10,0,2,0,4,0,0,0,0,2,0,0,2,0,0,3,1,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL,0,0,0,2,1,0,2,0,2,5,6,3,7,0,0,4,0,0,3,0,6,17,1,4,0,0,2,4,0,0,3,0,2,4,0,0,0,0,0,0,3,2,0,0,0,0,0,4,0,0,0,0,1,2,0,0,3,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CN,8,0,6,67,210,8,74,1,35,212,106,10,1461,8,34,334,45,17,171,58,182,682,100,171,8,31,40,66,82,0,281,8,105,106,4,7,26,7,14,60,147,44,37,4,15,48,1,50,6,21,29,19,46,70,0,2,103,1522,32,0,9,1,13,5,5,6,2,1,7,0,0,0,3,23,5,48,16,6,2,167,3,2,0,4,5,1,0,16,0,0,6,1,0,5,1,4,11,0,0,0,0,9,0,1,2,1,0,1,0,0,0,0,1,1,1,1,2,1,1,2,1,1,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CO,0,0,1,3,0,0,0,0,1,2,3,1,1,2,2,2,0,0,4,0,3,5,0,0,0,1,0,0,0,0,7,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CU,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY,0,0,0,3,10,0,7,1,2,19,9,0,18,0,4,19,6,2,14,2,24,49,38,9,0,0,3,12,3,0,22,1,12,3,0,0,0,0,0,0,8,2,0,0,0,1,0,7,1,2,0,0,7,1,0,0,5,96,3,0,1,0,31,0,0,1,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CZ,0,0,1,9,11,0,3,0,7,6,14,1,18,0,35,40,3,1,19,3,6,53,6,0,0,1,7,7,1,0,13,0,3,2,0,1,0,1,2,1,15,1,2,0,0,7,0,1,0,3,4,0,5,0,0,0,0,77,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,3,3,1,0,0,0,1,1,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE,14,0,5,116,140,2,129,0,44,200,166,7,122,6,24,881,55,10,158,44,241,666,68,31,21,6,51,90,22,5,237,9,82,40,4,14,2,2,28,11,265,41,25,1,4,47,0,29,3,14,29,8,63,28,1,0,11,1521,16,2,6,0,8,0,0,9,1,1,3,0,2,1,0,15,5,16,2,0,0,4,0,0,3,0,3,0,0,1,0,0,2,2,0,3,0,0,4,2,1,0,0,3,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DK,2,0,2,11,21,0,15,0,6,24,22,3,20,0,1,82,57,1,30,3,24,132,17,2,3,1,14,9,5,3,35,0,9,0,0,1,0,0,4,0,38,12,6,0,0,3,0,3,0,3,3,1,25,4,0,0,3,197,4,2,0,0,2,0,1,2,0,0,0,0,0,0,0,9,0,0,2,0,0,1,0,0,0,0,3,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DZ,3,0,0,0,7,0,3,0,1,5,1,0,21,1,0,2,0,2,9,0,14,15,3,2,0,0,2,1,6,0,16,0,4,1,0,0,0,0,0,4,2,1,0,0,0,2,0,2,4,2,0,1,0,2,0,1,0,42,0,0,0,0,1,19,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EC,0,0,0,0,1,0,0,0,0,2,2,0,2,0,0,2,0,0,7,1,4,5,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,11,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE,0,0,0,0,0,0,3,0,0,4,2,0,1,0,0,7,2,0,1,1,15,16,0,1,2,0,1,1,1,0,1,0,0,1,0,2,0,0,1,0,9,0,2,0,0,0,0,1,0,0,0,0,5,1,0,0,0,26,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EG,1,0,0,2,6,0,9,0,2,16,3,0,2,1,0,11,7,5,7,3,3,36,4,4,0,1,1,2,0,0,10,0,3,7,0,0,0,1,2,3,14,5,2,0,1,1,0,3,1,1,0,1,4,1,0,0,2,66,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES,1,0,20,45,99,2,50,0,18,114,63,15,54,9,24,196,31,8,505,36,160,410,83,16,10,3,39,34,33,1,252,1,17,20,2,3,2,2,27,6,107,17,16,0,2,16,0,42,9,3,15,10,30,11,0,2,13,737,17,2,3,0,8,5,9,9,2,0,1,0,0,4,3,3,2,25,1,1,0,13,0,0,3,1,3,2,0,1,1,0,6,0,1,0,0,0,1,0,1,2,0,0,1,0,0,3,1,3,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI,3,0,0,11,28,1,17,2,5,37,21,0,18,1,8,104,18,3,17,193,44,169,11,5,6,1,16,13,2,2,26,0,16,7,1,1,0,0,4,0,63,13,3,0,1,8,0,3,1,1,3,1,25,7,0,0,4,343,4,0,2,0,1,1,0,2,0,1,1,0,0,2,0,3,0,2,1,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR,12,0,4,55,85,1,85,3,23,133,114,5,92,3,32,284,20,4,118,36,693,366,70,14,12,4,31,46,20,2,194,3,42,35,2,7,2,3,9,11,130,23,14,1,6,18,1,25,5,8,23,13,55,19,0,13,24,780,7,0,5,2,5,11,0,2,5,1,4,0,3,1,1,7,2,9,4,2,0,13,1,0,0,0,1,0,0,3,0,1,4,2,0,0,1,0,3,0,1,0,0,10,0,1,0,1,2,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GB,10,0,6,89,270,1,126,1,41,335,139,12,197,11,26,446,89,10,203,94,263,1881,175,54,15,11,110,107,47,5,343,11,60,47,0,25,5,1,36,21,293,67,43,1,22,41,0,63,8,16,34,19,113,53,0,0,31,2195,26,1,7,1,16,4,3,11,4,1,2,0,2,3,2,9,5,26,18,14,4,8,2,1,3,1,5,0,0,4,0,1,11,0,0,1,0,1,22,3,0,0,0,0,1,0,3,3,2,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,4,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GH,0,0,0,0,0,0,0,0,1,0,0,1,2,1,0,4,1,3,3,0,0,6,0,0,0,2,0,0,4,0,2,1,0,3,0,0,0,0,0,2,2,3,1,3,3,0,0,0,0,0,0,2,2,0,0,0,1,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GR,3,0,1,31,59,0,36,0,21,62,34,4,65,0,12,120,19,11,83,23,90,292,328,12,2,0,17,54,25,0,196,1,23,24,1,3,0,1,2,8,63,12,12,1,1,11,0,34,1,6,2,10,25,10,0,2,20,476,10,0,1,0,23,0,0,1,0,1,1,0,0,0,1,1,1,15,0,2,0,10,0,0,2,0,1,2,0,2,0,0,3,0,0,0,0,3,4,0,0,0,0,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HK,1,0,0,11,27,0,7,0,5,26,11,0,185,2,5,34,5,3,21,13,15,90,7,67,2,3,4,9,8,0,24,0,15,8,0,1,4,0,2,6,12,2,5,0,3,7,0,1,0,2,0,2,6,5,0,0,26,171,6,0,1,1,4,0,1,1,0,0,0,0,0,0,0,1,0,8,6,8,2,3,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
HR,0,0,1,5,2,0,0,0,8,5,1,0,5,0,0,6,0,1,4,0,2,13,2,1,0,0,5,1,0,0,3,0,1,0,0,0,0,0,3,1,3,0,1,0,1,0,0,0,0,0,0,1,0,2,0,0,0,27,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU,2,0,1,0,3,0,5,0,2,4,1,2,0,2,0,5,2,1,8,3,0,10,0,0,8,0,2,1,0,0,4,0,2,3,0,0,0,0,1,0,1,0,0,0,0,5,0,1,1,0,0,0,0,0,0,0,0,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ID,5,0,0,2,24,1,4,0,5,11,2,1,45,0,2,19,4,3,13,4,8,42,0,10,0,49,2,4,8,0,13,2,9,15,1,1,2,0,2,16,12,5,2,0,4,0,0,11,4,3,0,6,5,4,0,2,9,96,4,0,1,0,0,0,2,0,1,2,1,0,0,0,1,1,0,5,0,1,3,7,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
IE,0,0,1,14,26,0,15,0,4,39,12,0,23,1,2,56,5,0,18,9,32,119,15,5,0,1,49,12,3,1,36,1,10,5,0,2,0,0,2,1,41,5,4,1,0,10,1,2,0,0,6,0,9,4,1,0,8,222,2,0,1,0,1,0,0,1,1,0,0,0,0,1,1,2,0,5,0,0,0,2,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IL,1,0,0,16,27,1,26,0,11,69,36,1,48,0,19,118,7,2,27,9,70,179,46,10,1,0,16,188,12,0,65,0,30,22,0,3,2,2,2,3,36,4,3,0,0,2,0,5,2,6,6,1,11,13,0,1,4,393,0,0,1,0,9,0,0,2,1,1,0,0,0,2,0,0,1,4,0,0,0,1,0,0,1,0,0,0,0,1,0,0,2,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
IN,4,0,2,11,26,1,17,0,8,31,17,2,45,2,6,51,1,4,44,2,42,87,31,8,3,5,10,9,82,0,41,1,17,9,0,0,0,0,2,7,25,7,4,0,7,5,1,3,2,7,1,3,11,9,0,5,17,225,3,1,0,0,4,1,1,1,1,0,0,0,0,0,0,1,2,14,1,1,1,3,0,0,0,0,0,0,0,3,0,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
